#    L    TT             EE             BB             TE          
     2   0.113082E+04   0.548824E-01   0.144974E-05   0.340078E+01
     3   0.105250E+04   0.883161E-01   0.289995E-05   0.425198E+01
     4   0.979864E+03   0.977605E-01   0.483429E-05   0.435966E+01
     5   0.923915E+03   0.853460E-01   0.725338E-05   0.402841E+01
     6   0.883237E+03   0.620403E-01   0.101580E-04   0.349301E+01
     7   0.854908E+03   0.388952E-01   0.135490E-04   0.290210E+01
     8   0.835703E+03   0.222317E-01   0.174275E-04   0.234606E+01
     9   0.823487E+03   0.131239E-01   0.217946E-04   0.187100E+01
    10   0.816690E+03   0.944594E-02   0.266515E-04   0.150169E+01
    11   0.813742E+03   0.832465E-02   0.319997E-04   0.124613E+01
    12   0.814750E+03   0.777778E-02   0.378407E-04   0.110164E+01
    13   0.817933E+03   0.695512E-02   0.441758E-04   0.104398E+01
    14   0.822351E+03   0.605633E-02   0.510069E-04   0.104429E+01
    15   0.828265E+03   0.537239E-02   0.583355E-04   0.108349E+01
    16   0.836047E+03   0.510939E-02   0.661633E-04   0.114586E+01
    17   0.845608E+03   0.526308E-02   0.744922E-04   0.121637E+01
    18   0.855996E+03   0.559173E-02   0.833238E-04   0.128340E+01
    19   0.868034E+03   0.596244E-02   0.926599E-04   0.134145E+01
    20   0.880043E+03   0.635305E-02   0.102502E-03   0.138574E+01
    21   0.892366E+03   0.680826E-02   0.112852E-03   0.142228E+01
    22   0.905274E+03   0.746003E-02   0.123712E-03   0.145740E+01
    23   0.918577E+03   0.836311E-02   0.135083E-03   0.149267E+01
    24   0.932330E+03   0.951346E-02   0.146967E-03   0.152878E+01
    25   0.946473E+03   0.109201E-01   0.159366E-03   0.156761E+01
    26   0.960816E+03   0.125515E-01   0.172280E-03   0.161177E+01
    27   0.975591E+03   0.143636E-01   0.185710E-03   0.165829E+01
    28   0.990651E+03   0.163439E-01   0.199659E-03   0.170435E+01
    29   0.100605E+04   0.185015E-01   0.214128E-03   0.174802E+01
    30   0.102170E+04   0.208531E-01   0.229116E-03   0.178620E+01
    31   0.103747E+04   0.233836E-01   0.244626E-03   0.181652E+01
    32   0.105362E+04   0.260670E-01   0.260657E-03   0.183666E+01
    33   0.107013E+04   0.289143E-01   0.277211E-03   0.184398E+01
    34   0.108684E+04   0.319556E-01   0.294287E-03   0.183773E+01
    35   0.110372E+04   0.352120E-01   0.311886E-03   0.182219E+01
    36   0.112069E+04   0.387037E-01   0.330009E-03   0.180019E+01
    37   0.113776E+04   0.424238E-01   0.348654E-03   0.176785E+01
    38   0.115525E+04   0.463693E-01   0.367823E-03   0.172287E+01
    39   0.117314E+04   0.505514E-01   0.387515E-03   0.166738E+01
    40   0.119114E+04   0.549908E-01   0.407729E-03   0.160437E+01
    41   0.120938E+04   0.597081E-01   0.428465E-03   0.153571E+01
    42   0.122761E+04   0.647045E-01   0.449723E-03   0.145948E+01
    43   0.124598E+04   0.699762E-01   0.471501E-03   0.137284E+01
    44   0.126435E+04   0.755046E-01   0.493800E-03   0.127383E+01
    45   0.128308E+04   0.812814E-01   0.516617E-03   0.116058E+01
    46   0.130210E+04   0.873030E-01   0.539953E-03   0.102997E+01
    47   0.132127E+04   0.935721E-01   0.563806E-03   0.883787E+00
    48   0.134051E+04   0.100100E+00   0.588176E-03   0.727702E+00
    49   0.135992E+04   0.106875E+00   0.613060E-03   0.566795E+00
    50   0.137973E+04   0.113878E+00   0.638459E-03   0.399360E+00
    51   0.139971E+04   0.121087E+00   0.664371E-03   0.221864E+00
    52   0.142008E+04   0.128582E+00   0.690795E-03   0.290799E-01
    53   0.144047E+04   0.136508E+00   0.717729E-03  -0.182790E+00
    54   0.146078E+04   0.144852E+00   0.745174E-03  -0.409577E+00
    55   0.148124E+04   0.153586E+00   0.773128E-03  -0.646996E+00
    56   0.150204E+04   0.162565E+00   0.801590E-03  -0.896844E+00
    57   0.152314E+04   0.171681E+00   0.830559E-03  -0.115895E+01
    58   0.154452E+04   0.180946E+00   0.860035E-03  -0.143387E+01
    59   0.156607E+04   0.190403E+00   0.890017E-03  -0.172221E+01
    60   0.158777E+04   0.200108E+00   0.920504E-03  -0.202311E+01
    61   0.160995E+04   0.210155E+00   0.951496E-03  -0.233562E+01
    62   0.163201E+04   0.220531E+00   0.982992E-03  -0.266070E+01
    63   0.165417E+04   0.231193E+00   0.101499E-02  -0.299946E+01
    64   0.167673E+04   0.242150E+00   0.104750E-02  -0.335318E+01
    65   0.169933E+04   0.253376E+00   0.108051E-02  -0.372260E+01
    66   0.172225E+04   0.264800E+00   0.111403E-02  -0.410589E+01
    67   0.174533E+04   0.276425E+00   0.114805E-02  -0.450022E+01
    68   0.176885E+04   0.288291E+00   0.118257E-02  -0.490380E+01
    69   0.179254E+04   0.300360E+00   0.121761E-02  -0.531475E+01
    70   0.181654E+04   0.312672E+00   0.125315E-02  -0.573461E+01
    71   0.184068E+04   0.325217E+00   0.128920E-02  -0.616570E+01
    72   0.186500E+04   0.337968E+00   0.132576E-02  -0.660944E+01
    73   0.188946E+04   0.350892E+00   0.136283E-02  -0.706652E+01
    74   0.191412E+04   0.363976E+00   0.140041E-02  -0.753616E+01
    75   0.193910E+04   0.377232E+00   0.143851E-02  -0.801697E+01
    76   0.196435E+04   0.390660E+00   0.147712E-02  -0.850839E+01
    77   0.198992E+04   0.404252E+00   0.151625E-02  -0.901026E+01
    78   0.201586E+04   0.418033E+00   0.155591E-02  -0.952394E+01
    79   0.204197E+04   0.431949E+00   0.159608E-02  -0.100456E+02
    80   0.206836E+04   0.446003E+00   0.163678E-02  -0.105767E+02
    81   0.209493E+04   0.460145E+00   0.167801E-02  -0.111177E+02
    82   0.212175E+04   0.474397E+00   0.171976E-02  -0.116674E+02
    83   0.214875E+04   0.488733E+00   0.176205E-02  -0.122256E+02
    84   0.217601E+04   0.503151E+00   0.180488E-02  -0.127902E+02
    85   0.220339E+04   0.517625E+00   0.184824E-02  -0.133623E+02
    86   0.223097E+04   0.532168E+00   0.189214E-02  -0.139408E+02
    87   0.225898E+04   0.546750E+00   0.193659E-02  -0.145249E+02
    88   0.228696E+04   0.561385E+00   0.198158E-02  -0.151148E+02
    89   0.231530E+04   0.576060E+00   0.202712E-02  -0.157120E+02
    90   0.234384E+04   0.590736E+00   0.207322E-02  -0.163137E+02
    91   0.237251E+04   0.605406E+00   0.211987E-02  -0.169207E+02
    92   0.240147E+04   0.620057E+00   0.216708E-02  -0.175323E+02
    93   0.243070E+04   0.634682E+00   0.221485E-02  -0.181486E+02
    94   0.246000E+04   0.649244E+00   0.226319E-02  -0.187682E+02
    95   0.248958E+04   0.663744E+00   0.231209E-02  -0.193917E+02
    96   0.251915E+04   0.678168E+00   0.236156E-02  -0.200184E+02
    97   0.254915E+04   0.692502E+00   0.241161E-02  -0.206478E+02
    98   0.257937E+04   0.706739E+00   0.246224E-02  -0.212775E+02
    99   0.260965E+04   0.720843E+00   0.251344E-02  -0.219106E+02
   100   0.264021E+04   0.734814E+00   0.256523E-02  -0.225426E+02
   101   0.267092E+04   0.748713E+00   0.261761E-02  -0.231766E+02
   102   0.270214E+04   0.762392E+00   0.267057E-02  -0.238103E+02
   103   0.273327E+04   0.775926E+00   0.272413E-02  -0.244446E+02
   104   0.276462E+04   0.789316E+00   0.277829E-02  -0.250764E+02
   105   0.279612E+04   0.802488E+00   0.283304E-02  -0.257074E+02
   106   0.282783E+04   0.815518E+00   0.288839E-02  -0.263368E+02
   107   0.285947E+04   0.828257E+00   0.294436E-02  -0.269631E+02
   108   0.289147E+04   0.840781E+00   0.300093E-02  -0.275872E+02
   109   0.292362E+04   0.853016E+00   0.305811E-02  -0.282076E+02
   110   0.295584E+04   0.864962E+00   0.311591E-02  -0.288227E+02
   111   0.298821E+04   0.876696E+00   0.317433E-02  -0.294342E+02
   112   0.302073E+04   0.888143E+00   0.323337E-02  -0.300413E+02
   113   0.305346E+04   0.899303E+00   0.329303E-02  -0.306425E+02
   114   0.308627E+04   0.910103E+00   0.335333E-02  -0.312370E+02
   115   0.311929E+04   0.920692E+00   0.341426E-02  -0.318248E+02
   116   0.315231E+04   0.930846E+00   0.347583E-02  -0.324052E+02
   117   0.318562E+04   0.940642E+00   0.353804E-02  -0.329773E+02
   118   0.321907E+04   0.950227E+00   0.360090E-02  -0.335420E+02
   119   0.325250E+04   0.959453E+00   0.366441E-02  -0.340969E+02
   120   0.328608E+04   0.968173E+00   0.372857E-02  -0.346420E+02
   121   0.331965E+04   0.976684E+00   0.379339E-02  -0.351774E+02
   122   0.335327E+04   0.984689E+00   0.385888E-02  -0.357023E+02
   123   0.338696E+04   0.992263E+00   0.392503E-02  -0.362166E+02
   124   0.342071E+04   0.999480E+00   0.399186E-02  -0.367174E+02
   125   0.345444E+04   0.100627E+01   0.405937E-02  -0.372068E+02
   126   0.348823E+04   0.101270E+01   0.412757E-02  -0.376842E+02
   127   0.352200E+04   0.101863E+01   0.419645E-02  -0.381487E+02
   128   0.355576E+04   0.102420E+01   0.426603E-02  -0.385997E+02
   129   0.358956E+04   0.102927E+01   0.433631E-02  -0.390363E+02
   130   0.362335E+04   0.103384E+01   0.440730E-02  -0.394577E+02
   131   0.365712E+04   0.103805E+01   0.447900E-02  -0.398656E+02
   132   0.369094E+04   0.104176E+01   0.455142E-02  -0.402568E+02
   133   0.372466E+04   0.104505E+01   0.462456E-02  -0.406337E+02
   134   0.375837E+04   0.104791E+01   0.469844E-02  -0.409919E+02
   135   0.379206E+04   0.105026E+01   0.477305E-02  -0.413344E+02
   136   0.382559E+04   0.105212E+01   0.484841E-02  -0.416575E+02
   137   0.385910E+04   0.105355E+01   0.492453E-02  -0.419635E+02
   138   0.389253E+04   0.105449E+01   0.500140E-02  -0.422509E+02
   139   0.392572E+04   0.105507E+01   0.507903E-02  -0.425190E+02
   140   0.395897E+04   0.105508E+01   0.515743E-02  -0.427686E+02
   141   0.399199E+04   0.105460E+01   0.523661E-02  -0.429975E+02
   142   0.402501E+04   0.105369E+01   0.531658E-02  -0.432065E+02
   143   0.405794E+04   0.105235E+01   0.539734E-02  -0.433957E+02
   144   0.409064E+04   0.105052E+01   0.547889E-02  -0.435643E+02
   145   0.412319E+04   0.104835E+01   0.556124E-02  -0.437117E+02
   146   0.415582E+04   0.104560E+01   0.564441E-02  -0.438378E+02
   147   0.418807E+04   0.104250E+01   0.572839E-02  -0.439412E+02
   148   0.422016E+04   0.103892E+01   0.581318E-02  -0.440235E+02
   149   0.425219E+04   0.103491E+01   0.589881E-02  -0.440832E+02
   150   0.428392E+04   0.103055E+01   0.598527E-02  -0.441181E+02
   151   0.431551E+04   0.102578E+01   0.607256E-02  -0.441313E+02
   152   0.434679E+04   0.102051E+01   0.616069E-02  -0.441212E+02
   153   0.437794E+04   0.101490E+01   0.624967E-02  -0.440856E+02
   154   0.440886E+04   0.100894E+01   0.633951E-02  -0.440267E+02
   155   0.443956E+04   0.100263E+01   0.643019E-02  -0.439439E+02
   156   0.446988E+04   0.995982E+00   0.652173E-02  -0.438370E+02
   157   0.450013E+04   0.988984E+00   0.661413E-02  -0.437046E+02
   158   0.453008E+04   0.981715E+00   0.670740E-02  -0.435475E+02
   159   0.455973E+04   0.974024E+00   0.680153E-02  -0.433656E+02
   160   0.458916E+04   0.966060E+00   0.689654E-02  -0.431574E+02
   161   0.461835E+04   0.957898E+00   0.699241E-02  -0.429245E+02
   162   0.464725E+04   0.949388E+00   0.708915E-02  -0.426669E+02
   163   0.467599E+04   0.940604E+00   0.718676E-02  -0.423829E+02
   164   0.470428E+04   0.931622E+00   0.728525E-02  -0.420743E+02
   165   0.473241E+04   0.922365E+00   0.738461E-02  -0.417386E+02
   166   0.476023E+04   0.912982E+00   0.748484E-02  -0.413773E+02
   167   0.478783E+04   0.903251E+00   0.758595E-02  -0.409914E+02
   168   0.481497E+04   0.893542E+00   0.768792E-02  -0.405784E+02
   169   0.484180E+04   0.883558E+00   0.779076E-02  -0.401384E+02
   170   0.486833E+04   0.873521E+00   0.789447E-02  -0.396728E+02
   171   0.489440E+04   0.863432E+00   0.799904E-02  -0.391795E+02
   172   0.492008E+04   0.853216E+00   0.810447E-02  -0.386600E+02
   173   0.494531E+04   0.842872E+00   0.821076E-02  -0.381142E+02
   174   0.497022E+04   0.832697E+00   0.831790E-02  -0.375420E+02
   175   0.499475E+04   0.822394E+00   0.842590E-02  -0.369429E+02
   176   0.501875E+04   0.812185E+00   0.853473E-02  -0.363168E+02
   177   0.504236E+04   0.801996E+00   0.864441E-02  -0.356651E+02
   178   0.506551E+04   0.792048E+00   0.875492E-02  -0.349864E+02
   179   0.508820E+04   0.782044E+00   0.886627E-02  -0.342807E+02
   180   0.511059E+04   0.772205E+00   0.897843E-02  -0.335495E+02
   181   0.513244E+04   0.762531E+00   0.909142E-02  -0.327928E+02
   182   0.515384E+04   0.753095E+00   0.920521E-02  -0.320091E+02
   183   0.517471E+04   0.743822E+00   0.931981E-02  -0.312000E+02
   184   0.519520E+04   0.734786E+00   0.943521E-02  -0.303646E+02
   185   0.521524E+04   0.726134E+00   0.955139E-02  -0.295052E+02
   186   0.523445E+04   0.717724E+00   0.966836E-02  -0.286189E+02
   187   0.525352E+04   0.709697E+00   0.978611E-02  -0.277071E+02
   188   0.527205E+04   0.702037E+00   0.990463E-02  -0.267714E+02
   189   0.529000E+04   0.694780E+00   0.100239E-01  -0.258102E+02
   190   0.530779E+04   0.687977E+00   0.101439E-01  -0.248258E+02
   191   0.532468E+04   0.681650E+00   0.102647E-01  -0.238153E+02
   192   0.534121E+04   0.675820E+00   0.103862E-01  -0.227808E+02
   193   0.535714E+04   0.670531E+00   0.105084E-01  -0.217239E+02
   194   0.537270E+04   0.665812E+00   0.106314E-01  -0.206423E+02
   195   0.538767E+04   0.661698E+00   0.107551E-01  -0.195382E+02
   196   0.540205E+04   0.658227E+00   0.108794E-01  -0.184110E+02
   197   0.541599E+04   0.655441E+00   0.110045E-01  -0.172622E+02
   198   0.542941E+04   0.653362E+00   0.111302E-01  -0.160909E+02
   199   0.544232E+04   0.652026E+00   0.112566E-01  -0.148980E+02
   200   0.545472E+04   0.651463E+00   0.113837E-01  -0.136841E+02
   201   0.546653E+04   0.651730E+00   0.115114E-01  -0.124486E+02
   202   0.547783E+04   0.652833E+00   0.116398E-01  -0.111930E+02
   203   0.548854E+04   0.654832E+00   0.117688E-01  -0.991641E+01
   204   0.549859E+04   0.657748E+00   0.118984E-01  -0.862188E+01
   205   0.550813E+04   0.661623E+00   0.120287E-01  -0.730715E+01
   206   0.551700E+04   0.666494E+00   0.121595E-01  -0.597349E+01
   207   0.552537E+04   0.672381E+00   0.122910E-01  -0.462132E+01
   208   0.553300E+04   0.679337E+00   0.124230E-01  -0.325117E+01
   209   0.554004E+04   0.687382E+00   0.125556E-01  -0.186339E+01
   210   0.554650E+04   0.696566E+00   0.126888E-01  -0.458864E+00
   211   0.555236E+04   0.706919E+00   0.128225E-01   0.962353E+00
   212   0.555750E+04   0.718469E+00   0.129568E-01   0.239934E+01
   213   0.556211E+04   0.731260E+00   0.130916E-01   0.385214E+01
   214   0.556607E+04   0.745281E+00   0.132269E-01   0.531957E+01
   215   0.556944E+04   0.760727E+00   0.133627E-01   0.680089E+01
   216   0.557215E+04   0.777409E+00   0.134991E-01   0.829663E+01
   217   0.557434E+04   0.795483E+00   0.136358E-01   0.980479E+01
   218   0.557588E+04   0.814947E+00   0.137731E-01   0.113256E+02
   219   0.557682E+04   0.835800E+00   0.139108E-01   0.128601E+02
   220   0.557718E+04   0.858190E+00   0.140490E-01   0.144037E+02
   221   0.557694E+04   0.882040E+00   0.141876E-01   0.159588E+02
   222   0.557612E+04   0.907499E+00   0.143266E-01   0.175238E+02
   223   0.557457E+04   0.934490E+00   0.144660E-01   0.190995E+02
   224   0.557257E+04   0.963012E+00   0.146058E-01   0.206822E+02
   225   0.556991E+04   0.993214E+00   0.147459E-01   0.222749E+02
   226   0.556667E+04   0.102509E+01   0.148864E-01   0.238739E+02
   227   0.556276E+04   0.105865E+01   0.150273E-01   0.254806E+02
   228   0.555833E+04   0.109388E+01   0.151685E-01   0.270937E+02
   229   0.555332E+04   0.113085E+01   0.153099E-01   0.287116E+02
   230   0.554764E+04   0.116958E+01   0.154517E-01   0.303350E+02
   231   0.554130E+04   0.121012E+01   0.155937E-01   0.319633E+02
   232   0.553445E+04   0.125240E+01   0.157360E-01   0.335950E+02
   233   0.552700E+04   0.129666E+01   0.158786E-01   0.352286E+02
   234   0.551882E+04   0.134272E+01   0.160213E-01   0.368648E+02
   235   0.551013E+04   0.139068E+01   0.161643E-01   0.385022E+02
   236   0.550077E+04   0.144052E+01   0.163074E-01   0.401408E+02
   237   0.549082E+04   0.149232E+01   0.164507E-01   0.417792E+02
   238   0.548028E+04   0.154616E+01   0.165941E-01   0.434172E+02
   239   0.546923E+04   0.160187E+01   0.167377E-01   0.450543E+02
   240   0.545744E+04   0.165955E+01   0.168814E-01   0.466881E+02
   241   0.544520E+04   0.171932E+01   0.170251E-01   0.483195E+02
   242   0.543238E+04   0.178105E+01   0.171689E-01   0.499478E+02
   243   0.541897E+04   0.184488E+01   0.173128E-01   0.515713E+02
   244   0.540497E+04   0.191073E+01   0.174567E-01   0.531910E+02
   245   0.539037E+04   0.197868E+01   0.176006E-01   0.548038E+02
   246   0.537527E+04   0.204873E+01   0.177445E-01   0.564112E+02
   247   0.535964E+04   0.212080E+01   0.178884E-01   0.580111E+02
   248   0.534343E+04   0.219525E+01   0.180322E-01   0.596034E+02
   249   0.532677E+04   0.227158E+01   0.181760E-01   0.611875E+02
   250   0.530953E+04   0.235022E+01   0.183196E-01   0.627617E+02
   251   0.529184E+04   0.243087E+01   0.184632E-01   0.643270E+02
   252   0.527348E+04   0.251377E+01   0.186066E-01   0.658818E+02
   253   0.525484E+04   0.259867E+01   0.187499E-01   0.674247E+02
   254   0.523560E+04   0.268589E+01   0.188930E-01   0.689557E+02
   255   0.521585E+04   0.277513E+01   0.190359E-01   0.704747E+02
   256   0.519566E+04   0.286675E+01   0.191787E-01   0.719819E+02
   257   0.517502E+04   0.296031E+01   0.193212E-01   0.734690E+02
