#           k/h    P           
   0.100000E-03   0.205050E+03
   0.102020E-03   0.209022E+03
   0.104081E-03   0.213072E+03
   0.106184E-03   0.217200E+03
   0.108329E-03   0.221408E+03
   0.110517E-03   0.225698E+03
   0.112750E-03   0.230070E+03
   0.115027E-03   0.234527E+03
   0.117351E-03   0.239070E+03
   0.119722E-03   0.243701E+03
   0.122140E-03   0.248422E+03
   0.124608E-03   0.253234E+03
   0.127125E-03   0.258139E+03
   0.129693E-03   0.263139E+03
   0.132313E-03   0.268235E+03
   0.134986E-03   0.273430E+03
   0.137713E-03   0.278726E+03
   0.140495E-03   0.284123E+03
   0.143333E-03   0.289625E+03
   0.146228E-03   0.295234E+03
   0.149182E-03   0.300950E+03
   0.152196E-03   0.306778E+03
   0.155271E-03   0.312717E+03
   0.158407E-03   0.318772E+03
   0.161607E-03   0.324943E+03
   0.164872E-03   0.331233E+03
   0.168203E-03   0.337645E+03
   0.171601E-03   0.344181E+03
   0.175067E-03   0.350842E+03
   0.178604E-03   0.357632E+03
   0.182212E-03   0.364553E+03
   0.185893E-03   0.371608E+03
   0.189648E-03   0.378799E+03
   0.193479E-03   0.386128E+03
   0.197388E-03   0.393598E+03
   0.201375E-03   0.401212E+03
   0.205443E-03   0.408973E+03
   0.209594E-03   0.416884E+03
   0.213828E-03   0.424946E+03
   0.218147E-03   0.433164E+03
   0.222554E-03   0.441540E+03
   0.227050E-03   0.450077E+03
   0.231637E-03   0.458778E+03
   0.236316E-03   0.467646E+03
   0.241090E-03   0.476685E+03
   0.245960E-03   0.485897E+03
   0.250929E-03   0.495287E+03
   0.255998E-03   0.504856E+03
   0.261170E-03   0.514609E+03
   0.266446E-03   0.524549E+03
   0.271828E-03   0.534680E+03
   0.277319E-03   0.545005E+03
   0.282922E-03   0.555527E+03
   0.288637E-03   0.566251E+03
   0.294468E-03   0.577180E+03
   0.300417E-03   0.588319E+03
   0.306485E-03   0.599670E+03
   0.312677E-03   0.611237E+03
   0.318993E-03   0.623026E+03
   0.325437E-03   0.635040E+03
   0.332012E-03   0.647283E+03
   0.338719E-03   0.659759E+03
   0.345561E-03   0.672473E+03
   0.352542E-03   0.685428E+03
   0.359664E-03   0.698630E+03
   0.366930E-03   0.712083E+03
   0.374342E-03   0.725792E+03
   0.381904E-03   0.739761E+03
   0.389619E-03   0.753994E+03
   0.397490E-03   0.768497E+03
   0.405520E-03   0.783275E+03
   0.413712E-03   0.798332E+03
   0.422070E-03   0.813674E+03
   0.430596E-03   0.829305E+03
   0.439295E-03   0.845231E+03
   0.448169E-03   0.861457E+03
   0.457222E-03   0.877988E+03
   0.466459E-03   0.894830E+03
   0.475882E-03   0.911988E+03
   0.485496E-03   0.929468E+03
   0.495303E-03   0.947276E+03
   0.505309E-03   0.965416E+03
   0.515517E-03   0.983896E+03
   0.525931E-03   0.100272E+04
   0.536556E-03   0.102190E+04
   0.547395E-03   0.104143E+04
   0.558453E-03   0.106132E+04
   0.569734E-03   0.108159E+04
   0.581244E-03   0.110223E+04
   0.592986E-03   0.112325E+04
   0.604965E-03   0.114466E+04
   0.617186E-03   0.116646E+04
   0.629654E-03   0.118866E+04
   0.642374E-03   0.121128E+04
   0.655350E-03   0.123430E+04
   0.668589E-03   0.125775E+04
   0.682096E-03   0.128163E+04
