#    L    TT             EE             TE             PP             TP          
     2   0.113082E+04   0.548810E-01   0.340078E+01   0.101072E+07   0.320246E+05
     3   0.105250E+04   0.883132E-01   0.425198E+01   0.155523E+07   0.379817E+05
     4   0.979855E+03   0.977556E-01   0.435966E+01   0.203706E+07   0.407165E+05
     5   0.923901E+03   0.853387E-01   0.402841E+01   0.246145E+07   0.417458E+05
     6   0.883217E+03   0.620302E-01   0.349302E+01   0.283525E+07   0.418327E+05
     7   0.854881E+03   0.388817E-01   0.290210E+01   0.316604E+07   0.414044E+05
     8   0.835669E+03   0.222143E-01   0.234607E+01   0.345985E+07   0.406465E+05
     9   0.823444E+03   0.131022E-01   0.187100E+01   0.372199E+07   0.396559E+05
    10   0.816638E+03   0.941929E-02   0.150170E+01   0.395616E+07   0.385324E+05
    11   0.813679E+03   0.829265E-02   0.124615E+01   0.416685E+07   0.373999E+05
    12   0.814677E+03   0.773994E-02   0.110166E+01   0.435572E+07   0.363183E+05
    13   0.817848E+03   0.691095E-02   0.104400E+01   0.452520E+07   0.352926E+05
    14   0.822253E+03   0.600534E-02   0.104432E+01   0.467791E+07   0.343134E+05
    15   0.828153E+03   0.531406E-02   0.108353E+01   0.481551E+07   0.333502E+05
    16   0.835921E+03   0.504324E-02   0.114591E+01   0.493940E+07   0.323797E+05
    17   0.845467E+03   0.518861E-02   0.121644E+01   0.505108E+07   0.314279E+05
    18   0.855839E+03   0.550844E-02   0.128348E+01   0.515186E+07   0.305240E+05
    19   0.867861E+03   0.586983E-02   0.134155E+01   0.524243E+07   0.296610E+05
    20   0.879852E+03   0.625061E-02   0.138586E+01   0.532341E+07   0.288249E+05
    21   0.892158E+03   0.669549E-02   0.142242E+01   0.539585E+07   0.280101E+05
    22   0.905047E+03   0.733643E-02   0.145757E+01   0.546078E+07   0.272154E+05
    23   0.918332E+03   0.822818E-02   0.149287E+01   0.551870E+07   0.264486E+05
    24   0.932065E+03   0.936668E-02   0.152901E+01   0.557002E+07   0.257174E+05
    25   0.946188E+03   0.107610E-01   0.156788E+01   0.561532E+07   0.250217E+05
    26   0.960510E+03   0.123795E-01   0.161207E+01   0.565518E+07   0.243586E+05
    27   0.975265E+03   0.141783E-01   0.165864E+01   0.569006E+07   0.237226E+05
    28   0.990304E+03   0.161447E-01   0.170475E+01   0.572032E+07   0.231095E+05
    29   0.100568E+04   0.182879E-01   0.174847E+01   0.574604E+07   0.225232E+05
    30   0.102131E+04   0.206247E-01   0.178671E+01   0.576733E+07   0.219677E+05
    31   0.103706E+04   0.231398E-01   0.181708E+01   0.578473E+07   0.214372E+05
    32   0.105318E+04   0.258074E-01   0.183729E+01   0.579876E+07   0.209242E+05
    33   0.106967E+04   0.286383E-01   0.184467E+01   0.580964E+07   0.204242E+05
    34   0.108636E+04   0.316628E-01   0.183850E+01   0.581752E+07   0.199343E+05
    35   0.110321E+04   0.349018E-01   0.182303E+01   0.582261E+07   0.194551E+05
    36   0.112015E+04   0.383758E-01   0.180111E+01   0.582511E+07   0.189897E+05
    37   0.113720E+04   0.420776E-01   0.176885E+01   0.582522E+07   0.185467E+05
    38   0.115467E+04   0.460043E-01   0.172396E+01   0.582311E+07   0.181325E+05
    39   0.117253E+04   0.501673E-01   0.166855E+01   0.581888E+07   0.177416E+05
    40   0.119051E+04   0.545870E-01   0.160564E+01   0.581267E+07   0.173653E+05
    41   0.120872E+04   0.592841E-01   0.153707E+01   0.580457E+07   0.169964E+05
    42   0.122692E+04   0.642600E-01   0.146094E+01   0.579471E+07   0.166348E+05
    43   0.124527E+04   0.695107E-01   0.137440E+01   0.578321E+07   0.162821E+05
    44   0.126361E+04   0.750176E-01   0.127549E+01   0.577019E+07   0.159398E+05
    45   0.128232E+04   0.807725E-01   0.116234E+01   0.575578E+07   0.156095E+05
    46   0.130131E+04   0.867719E-01   0.103183E+01   0.574008E+07   0.152922E+05
