#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113082E+04   0.340078E+01   0.343554E-02   0.340078E+01   0.548810E-01  -0.163875E-04   0.343554E-02  -0.163875E-04   0.487240E-07
     3   0.105250E+04   0.425198E+01   0.341473E-02   0.425198E+01   0.883132E-01  -0.198898E-04   0.341473E-02  -0.198898E-04   0.592381E-07
     4   0.979855E+03   0.435966E+01   0.332284E-02   0.435966E+01   0.977556E-01  -0.198385E-04   0.332284E-02  -0.198385E-04   0.681949E-07
     5   0.923901E+03   0.402841E+01   0.320449E-02   0.402841E+01   0.853387E-01  -0.172799E-04   0.320449E-02  -0.172799E-04   0.759419E-07
     6   0.883217E+03   0.349302E+01   0.307830E-02   0.349302E+01   0.620302E-01  -0.131638E-04   0.307830E-02  -0.131638E-04   0.826824E-07
     7   0.854881E+03   0.290210E+01   0.295399E-02   0.290210E+01   0.388817E-01  -0.840215E-05   0.295399E-02  -0.840215E-05   0.885989E-07
     8   0.835669E+03   0.234607E+01   0.283222E-02   0.234607E+01   0.222143E-01  -0.381824E-05   0.283222E-02  -0.381824E-05   0.938189E-07
     9   0.823444E+03   0.187100E+01   0.271218E-02   0.187100E+01   0.131022E-01  -0.503318E-07   0.271218E-02  -0.503318E-07   0.984504E-07
    10   0.816638E+03   0.150170E+01   0.259591E-02   0.150170E+01   0.941929E-02   0.256671E-05   0.259591E-02   0.256671E-05   0.102562E-06
    11   0.813679E+03   0.124615E+01   0.248844E-02   0.124615E+01   0.829265E-02   0.399352E-05   0.248844E-02   0.399352E-05   0.106246E-06
    12   0.814677E+03   0.110166E+01   0.239131E-02   0.110166E+01   0.773994E-02   0.432960E-05   0.239131E-02   0.432960E-05   0.109525E-06
    13   0.817848E+03   0.104400E+01   0.230322E-02   0.104400E+01   0.691095E-02   0.374397E-05   0.230322E-02   0.374397E-05   0.112444E-06
    14   0.822253E+03   0.104432E+01   0.222219E-02   0.104432E+01   0.600534E-02   0.246612E-05   0.222219E-02   0.246612E-05   0.115055E-06
    15   0.828153E+03   0.108353E+01   0.214544E-02   0.108353E+01   0.531406E-02   0.915401E-06   0.214544E-02   0.915401E-06   0.117389E-06
    16   0.835921E+03   0.114591E+01   0.207081E-02   0.114591E+01   0.504324E-02  -0.495140E-06   0.207081E-02  -0.495140E-06   0.119470E-06
    17   0.845467E+03   0.121644E+01   0.199951E-02   0.121644E+01   0.518861E-02  -0.156774E-05   0.199951E-02  -0.156774E-05   0.121328E-06
    18   0.855839E+03   0.128348E+01   0.193302E-02   0.128348E+01   0.550844E-02  -0.220162E-05   0.193302E-02  -0.220162E-05   0.122986E-06
    19   0.867861E+03   0.134155E+01   0.187057E-02   0.134155E+01   0.586983E-02  -0.246873E-05   0.187057E-02  -0.246873E-05   0.124455E-06
    20   0.879852E+03   0.138586E+01   0.181103E-02   0.138586E+01   0.625061E-02  -0.246062E-05   0.181103E-02  -0.246062E-05   0.125747E-06
    21   0.892158E+03   0.142242E+01   0.175385E-02   0.142242E+01   0.669549E-02  -0.217452E-05   0.175385E-02  -0.217452E-05   0.126880E-06
    22   0.905047E+03   0.145757E+01   0.169882E-02   0.145757E+01   0.733643E-02  -0.162378E-05   0.169882E-02  -0.162378E-05   0.127877E-06
    23   0.918332E+03   0.149287E+01   0.164627E-02   0.149287E+01   0.822818E-02  -0.980598E-06   0.164627E-02  -0.980598E-06   0.128745E-06
