#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.158349E+08   0.158349E+08   0.211051E+08   0.211049E+08   0.158378E+08   0.158349E+08   0.158349E+08   0.158434E+08  -0.536736E+00   0.115432E+08   0.115432E+08   0.854685E+01
   0.109829E-04   0.158349E+08   0.158349E+08   0.211034E+08   0.211030E+08   0.158378E+08   0.158349E+08   0.158349E+08   0.158434E+08  -0.536736E+00   0.115432E+08   0.115432E+08   0.943702E+01
   0.121271E-04   0.158349E+08   0.158349E+08   0.211012E+08   0.211008E+08   0.158378E+08   0.158349E+08   0.158349E+08   0.158434E+08  -0.536736E+00   0.115432E+08   0.115432E+08   0.104198E+02
   0.133905E-04   0.158349E+08   0.158349E+08   0.210986E+08   0.210981E+08   0.158378E+08   0.158349E+08   0.158349E+08   0.158434E+08  -0.536736E+00   0.115432E+08   0.115432E+08   0.115050E+02
   0.147856E-04   0.158349E+08   0.158349E+08   0.210954E+08   0.210948E+08   0.158378E+08   0.158349E+08   0.158349E+08   0.158434E+08  -0.536736E+00   0.115432E+08   0.115432E+08   0.127030E+02
   0.163259E-04   0.158349E+08   0.158349E+08   0.210915E+08   0.210907E+08   0.158377E+08   0.158349E+08   0.158349E+08   0.158434E+08  -0.536736E+00   0.115432E+08   0.115432E+08   0.140256E+02
   0.180268E-04   0.158349E+08   0.158349E+08   0.210867E+08   0.210858E+08   0.158377E+08   0.158349E+08   0.158349E+08   0.158434E+08  -0.536736E+00   0.115432E+08   0.115432E+08   0.154857E+02
   0.199048E-04   0.158349E+08   0.158349E+08   0.210809E+08   0.210798E+08   0.158377E+08   0.158349E+08   0.158349E+08   0.158434E+08  -0.536736E+00   0.115432E+08   0.115432E+08   0.170975E+02
   0.219785E-04   0.158349E+08   0.158349E+08   0.210738E+08   0.210724E+08   0.158376E+08   0.158349E+08   0.158349E+08   0.158433E+08  -0.536735E+00   0.115432E+08   0.115432E+08   0.188768E+02
   0.242682E-04   0.158349E+08   0.158349E+08   0.210652E+08   0.210635E+08   0.158376E+08   0.158349E+08   0.158349E+08   0.158433E+08  -0.536735E+00   0.115431E+08   0.115431E+08   0.208408E+02
   0.267965E-04   0.158349E+08   0.158349E+08   0.210546E+08   0.210526E+08   0.158375E+08   0.158349E+08   0.158349E+08   0.158433E+08  -0.536734E+00   0.115431E+08   0.115431E+08   0.230085E+02
   0.295882E-04   0.158348E+08   0.158348E+08   0.210418E+08   0.210393E+08   0.158374E+08   0.158349E+08   0.158348E+08   0.158433E+08  -0.536733E+00   0.115431E+08   0.115431E+08   0.254008E+02
   0.326707E-04   0.158348E+08   0.158348E+08   0.210261E+08   0.210232E+08   0.158373E+08   0.158348E+08   0.158348E+08   0.158433E+08  -0.536732E+00   0.115431E+08   0.115431E+08   0.280406E+02
   0.360743E-04   0.158348E+08   0.158348E+08   0.210071E+08   0.210034E+08   0.158372E+08   0.158348E+08   0.158348E+08   0.158432E+08  -0.536731E+00   0.115431E+08   0.115431E+08   0.309533E+02
   0.398325E-04   0.158348E+08   0.158347E+08   0.209839E+08   0.209794E+08   0.158371E+08   0.158348E+08   0.158348E+08   0.158432E+08  -0.536729E+00   0.115431E+08   0.115430E+08   0.341665E+02
   0.439823E-04   0.158347E+08   0.158347E+08   0.209556E+08   0.209502E+08   0.158369E+08   0.158347E+08   0.158347E+08   0.158431E+08  -0.536726E+00   0.115430E+08   0.115430E+08   0.377104E+02
   0.485644E-04   0.158346E+08   0.158346E+08   0.209212E+08   0.209146E+08   0.158367E+08   0.158346E+08   0.158346E+08   0.158430E+08  -0.536724E+00   0.115430E+08   0.115430E+08   0.416181E+02
   0.536238E-04   0.158346E+08   0.158345E+08   0.208792E+08   0.208712E+08   0.158364E+08   0.158346E+08   0.158346E+08   0.158429E+08  -0.536720E+00   0.115429E+08   0.115429E+08   0.459257E+02
   0.592104E-04   0.158345E+08   0.158344E+08   0.208282E+08   0.208185E+08   0.158360E+08   0.158345E+08   0.158345E+08   0.158428E+08  -0.536715E+00   0.115428E+08   0.115428E+08   0.506724E+02
   0.653789E-04   0.158343E+08   0.158343E+08   0.207662E+08   0.207544E+08   0.158356E+08   0.158343E+08   0.158343E+08   0.158427E+08  -0.536710E+00   0.115427E+08   0.115427E+08   0.559004E+02
   0.721901E-04   0.158342E+08   0.158341E+08   0.206908E+08   0.206765E+08   0.158351E+08   0.158342E+08   0.158342E+08   0.158425E+08  -0.536703E+00   0.115426E+08   0.115426E+08   0.616555E+02
   0.797109E-04   0.158340E+08   0.158339E+08   0.205993E+08   0.205818E+08   0.158345E+08   0.158340E+08   0.158340E+08   0.158422E+08  -0.536694E+00   0.115425E+08   0.115425E+08   0.679866E+02
   0.880152E-04   0.158337E+08   0.158337E+08   0.204881E+08   0.204669E+08   0.158337E+08   0.158337E+08   0.158337E+08   0.158419E+08  -0.536683E+00   0.115423E+08   0.115423E+08   0.749456E+02
   0.971847E-04   0.158334E+08   0.158334E+08   0.203534E+08   0.203277E+08   0.158327E+08   0.158334E+08   0.158334E+08   0.158416E+08  -0.536670E+00   0.115421E+08   0.115420E+08   0.825870E+02
   0.107309E-03   0.158331E+08   0.158330E+08   0.201903E+08   0.201591E+08   0.158316E+08   0.158330E+08   0.158330E+08   0.158411E+08  -0.536654E+00   0.115418E+08   0.115418E+08   0.909675E+02
   0.118489E-03   0.158326E+08   0.158325E+08   0.199930E+08   0.199552E+08   0.158301E+08   0.158326E+08   0.158326E+08   0.158406E+08  -0.536634E+00   0.115415E+08   0.115414E+08   0.100145E+03
   0.130833E-03   0.158320E+08   0.158319E+08   0.197550E+08   0.197093E+08   0.158284E+08   0.158320E+08   0.158320E+08   0.158399E+08  -0.536609E+00   0.115410E+08   0.115410E+08   0.110176E+03
   0.144463E-03   0.158313E+08   0.158312E+08   0.194684E+08   0.194133E+08   0.158262E+08   0.158313E+08   0.158313E+08   0.158391E+08  -0.536579E+00   0.115405E+08   0.115405E+08   0.121117E+03
   0.159514E-03   0.158305E+08   0.158303E+08   0.191242E+08   0.190581E+08   0.158236E+08   0.158304E+08   0.158304E+08   0.158381E+08  -0.536542E+00   0.115399E+08   0.115398E+08   0.133015E+03
   0.176132E-03   0.158294E+08   0.158292E+08   0.187124E+08   0.186331E+08   0.158204E+08   0.158293E+08   0.158294E+08   0.158368E+08  -0.536497E+00   0.115391E+08   0.115390E+08   0.145912E+03
   0.194481E-03   0.158281E+08   0.158279E+08   0.182217E+08   0.181269E+08   0.158165E+08   0.158280E+08   0.158281E+08   0.158353E+08  -0.536443E+00   0.115382E+08   0.115380E+08   0.159833E+03
   0.214742E-03   0.158265E+08   0.158263E+08   0.176399E+08   0.175272E+08   0.158118E+08   0.158264E+08   0.158265E+08   0.158335E+08  -0.536376E+00   0.115370E+08   0.115369E+08   0.174781E+03
   0.237114E-03   0.158246E+08   0.158243E+08   0.169544E+08   0.168211E+08   0.158060E+08   0.158245E+08   0.158246E+08   0.158312E+08  -0.536295E+00   0.115356E+08   0.115354E+08   0.190729E+03
   0.261817E-03   0.158223E+08   0.158219E+08   0.161530E+08   0.159965E+08   0.157989E+08   0.158221E+08   0.158222E+08   0.158285E+08  -0.536196E+00   0.115338E+08   0.115336E+08   0.207610E+03
   0.289093E-03   0.158194E+08   0.158189E+08   0.152250E+08   0.150426E+08   0.157903E+08   0.158192E+08   0.158193E+08   0.158253E+08  -0.536078E+00   0.115317E+08   0.115315E+08   0.225302E+03
   0.319211E-03   0.158159E+08   0.158154E+08   0.141627E+08   0.139524E+08   0.157799E+08   0.158157E+08   0.158158E+08   0.158213E+08  -0.535934E+00   0.115291E+08   0.115289E+08   0.243610E+03
   0.352466E-03   0.158117E+08   0.158110E+08   0.129645E+08   0.127250E+08   0.157672E+08   0.158114E+08   0.158116E+08   0.158165E+08  -0.535762E+00   0.115260E+08   0.115257E+08   0.262258E+03
   0.389186E-03   0.158066E+08   0.158058E+08   0.116370E+08   0.113685E+08   0.157518E+08   0.158062E+08   0.158065E+08   0.158108E+08  -0.535556E+00   0.115222E+08   0.115218E+08   0.280864E+03
   0.429732E-03   0.158004E+08   0.157995E+08   0.101992E+08   0.990397E+07   0.157332E+08   0.157999E+08   0.158003E+08   0.158040E+08  -0.535309E+00   0.115177E+08   0.115172E+08   0.298931E+03
   0.474501E-03   0.157930E+08   0.157919E+08   0.868554E+07   0.836853E+07   0.157107E+08   0.157924E+08   0.157928E+08   0.157959E+08  -0.535017E+00   0.115121E+08   0.115116E+08   0.315842E+03
   0.523935E-03   0.157841E+08   0.157828E+08   0.714822E+07   0.681793E+07   0.156835E+08   0.157834E+08   0.157839E+08   0.157862E+08  -0.534671E+00   0.115055E+08   0.115049E+08   0.330868E+03
   0.578519E-03   0.157735E+08   0.157719E+08   0.565710E+07   0.532570E+07   0.156508E+08   0.157726E+08   0.157732E+08   0.157748E+08  -0.534265E+00   0.114976E+08   0.114969E+08   0.343194E+03
   0.638789E-03   0.157608E+08   0.157590E+08   0.429435E+07   0.397737E+07   0.156114E+08   0.157598E+08   0.157605E+08   0.157615E+08  -0.533789E+00   0.114882E+08   0.114874E+08   0.351979E+03
   0.705338E-03   0.157458E+08   0.157437E+08   0.314245E+07   0.285727E+07   0.155643E+08   0.157446E+08   0.157454E+08   0.157458E+08  -0.533234E+00   0.114770E+08   0.114761E+08   0.356443E+03
   0.778821E-03   0.157280E+08   0.157257E+08   0.226450E+07   0.202755E+07   0.155080E+08   0.157266E+08   0.157276E+08   0.157275E+08  -0.532590E+00   0.114638E+08   0.114628E+08   0.355983E+03
   0.859958E-03   0.157072E+08   0.157045E+08   0.168042E+07   0.150314E+07   0.154411E+08   0.157055E+08   0.157067E+08   0.157061E+08  -0.531845E+00   0.114483E+08   0.114472E+08   0.350291E+03
   0.949549E-03   0.156827E+08   0.156798E+08   0.134834E+07   0.123306E+07   0.153617E+08   0.156807E+08   0.156822E+08   0.156813E+08  -0.530986E+00   0.114301E+08   0.114290E+08   0.339447E+03
   0.104847E-02   0.156543E+08   0.156511E+08   0.116720E+07   0.110489E+07   0.152681E+08   0.156519E+08   0.156537E+08   0.156524E+08  -0.529993E+00   0.114090E+08   0.114078E+08   0.323938E+03
   0.115770E-02   0.156212E+08   0.156178E+08   0.101436E+07   0.986654E+06   0.151583E+08   0.156184E+08   0.156206E+08   0.156189E+08  -0.528849E+00   0.113845E+08   0.113833E+08   0.304569E+03
