#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.125874E+08   0.125874E+08   0.167782E+08   0.167780E+08   0.125908E+08   0.125874E+08   0.125874E+08   0.125964E+08  -0.569021E+00   0.107762E+08   0.107762E+08   0.100537E+02
   0.109829E-04   0.125874E+08   0.125874E+08   0.167771E+08   0.167769E+08   0.125908E+08   0.125874E+08   0.125874E+08   0.125964E+08  -0.569021E+00   0.107762E+08   0.107762E+08   0.111008E+02
   0.121271E-04   0.125874E+08   0.125874E+08   0.167758E+08   0.167755E+08   0.125907E+08   0.125874E+08   0.125874E+08   0.125964E+08  -0.569021E+00   0.107762E+08   0.107762E+08   0.122570E+02
   0.133905E-04   0.125874E+08   0.125874E+08   0.167742E+08   0.167738E+08   0.125907E+08   0.125874E+08   0.125874E+08   0.125964E+08  -0.569021E+00   0.107762E+08   0.107762E+08   0.135335E+02
   0.147856E-04   0.125874E+08   0.125874E+08   0.167722E+08   0.167718E+08   0.125907E+08   0.125874E+08   0.125874E+08   0.125964E+08  -0.569020E+00   0.107762E+08   0.107762E+08   0.149428E+02
   0.163259E-04   0.125874E+08   0.125874E+08   0.167698E+08   0.167693E+08   0.125907E+08   0.125874E+08   0.125874E+08   0.125963E+08  -0.569020E+00   0.107762E+08   0.107761E+08   0.164987E+02
   0.180268E-04   0.125874E+08   0.125874E+08   0.167669E+08   0.167663E+08   0.125907E+08   0.125874E+08   0.125874E+08   0.125963E+08  -0.569020E+00   0.107761E+08   0.107761E+08   0.182165E+02
   0.199048E-04   0.125874E+08   0.125874E+08   0.167633E+08   0.167626E+08   0.125906E+08   0.125874E+08   0.125874E+08   0.125963E+08  -0.569020E+00   0.107761E+08   0.107761E+08   0.201128E+02
   0.219785E-04   0.125874E+08   0.125874E+08   0.167589E+08   0.167580E+08   0.125906E+08   0.125874E+08   0.125874E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.222062E+02
   0.242682E-04   0.125873E+08   0.125873E+08   0.167536E+08   0.167525E+08   0.125906E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569018E+00   0.107761E+08   0.107761E+08   0.245170E+02
   0.267965E-04   0.125873E+08   0.125873E+08   0.167471E+08   0.167458E+08   0.125905E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569018E+00   0.107761E+08   0.107761E+08   0.270677E+02
   0.295882E-04   0.125873E+08   0.125873E+08   0.167392E+08   0.167376E+08   0.125904E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569017E+00   0.107761E+08   0.107761E+08   0.298828E+02
   0.326707E-04   0.125873E+08   0.125873E+08   0.167296E+08   0.167276E+08   0.125903E+08   0.125873E+08   0.125873E+08   0.125962E+08  -0.569015E+00   0.107761E+08   0.107761E+08   0.329895E+02
   0.360743E-04   0.125873E+08   0.125873E+08   0.167179E+08   0.167155E+08   0.125902E+08   0.125873E+08   0.125873E+08   0.125962E+08  -0.569014E+00   0.107761E+08   0.107761E+08   0.364177E+02
   0.398325E-04   0.125872E+08   0.125872E+08   0.167036E+08   0.167006E+08   0.125901E+08   0.125872E+08   0.125872E+08   0.125962E+08  -0.569012E+00   0.107760E+08   0.107760E+08   0.401999E+02
   0.439823E-04   0.125872E+08   0.125872E+08   0.166862E+08   0.166826E+08   0.125899E+08   0.125872E+08   0.125872E+08   0.125961E+08  -0.569009E+00   0.107760E+08   0.107760E+08   0.443722E+02
   0.485644E-04   0.125871E+08   0.125871E+08   0.166650E+08   0.166606E+08   0.125897E+08   0.125872E+08   0.125871E+08   0.125961E+08  -0.569006E+00   0.107760E+08   0.107759E+08   0.489737E+02
   0.536238E-04   0.125871E+08   0.125871E+08   0.166392E+08   0.166338E+08   0.125895E+08   0.125871E+08   0.125871E+08   0.125960E+08  -0.569002E+00   0.107759E+08   0.107759E+08   0.540472E+02
   0.592104E-04   0.125870E+08   0.125870E+08   0.166078E+08   0.166012E+08   0.125892E+08   0.125870E+08   0.125870E+08   0.125959E+08  -0.568997E+00   0.107758E+08   0.107758E+08   0.596394E+02
   0.653789E-04   0.125869E+08   0.125869E+08   0.165695E+08   0.165615E+08   0.125888E+08   0.125869E+08   0.125869E+08   0.125958E+08  -0.568992E+00   0.107757E+08   0.107757E+08   0.658009E+02
   0.721901E-04   0.125868E+08   0.125867E+08   0.165230E+08   0.165133E+08   0.125884E+08   0.125868E+08   0.125868E+08   0.125956E+08  -0.568984E+00   0.107756E+08   0.107756E+08   0.725865E+02
   0.797109E-04   0.125866E+08   0.125866E+08   0.164664E+08   0.164547E+08   0.125878E+08   0.125866E+08   0.125866E+08   0.125954E+08  -0.568975E+00   0.107755E+08   0.107755E+08   0.800550E+02
   0.880152E-04   0.125864E+08   0.125864E+08   0.163977E+08   0.163834E+08   0.125871E+08   0.125864E+08   0.125864E+08   0.125952E+08  -0.568964E+00   0.107753E+08   0.107753E+08   0.882695E+02
   0.971847E-04   0.125862E+08   0.125861E+08   0.163143E+08   0.162970E+08   0.125863E+08   0.125862E+08   0.125862E+08   0.125949E+08  -0.568950E+00   0.107751E+08   0.107751E+08   0.972964E+02
   0.107309E-03   0.125859E+08   0.125858E+08   0.162132E+08   0.161921E+08   0.125853E+08   0.125859E+08   0.125859E+08   0.125945E+08  -0.568933E+00   0.107749E+08   0.107748E+08   0.107206E+03
   0.118489E-03   0.125855E+08   0.125855E+08   0.160907E+08   0.160651E+08   0.125840E+08   0.125855E+08   0.125855E+08   0.125941E+08  -0.568913E+00   0.107746E+08   0.107745E+08   0.118070E+03
