#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.158349E+08   0.158349E+08   0.211051E+08   0.211048E+08   0.158377E+08   0.158349E+08   0.158349E+08   0.158433E+08  -0.536735E+00   0.115431E+08   0.115431E+08   0.854682E+01
   0.109829E-04   0.158348E+08   0.158348E+08   0.211033E+08   0.211030E+08   0.158377E+08   0.158349E+08   0.158348E+08   0.158433E+08  -0.536735E+00   0.115431E+08   0.115431E+08   0.943695E+01
   0.121270E-04   0.158348E+08   0.158348E+08   0.211011E+08   0.211007E+08   0.158377E+08   0.158349E+08   0.158348E+08   0.158433E+08  -0.536734E+00   0.115431E+08   0.115431E+08   0.104197E+02
   0.133904E-04   0.158348E+08   0.158348E+08   0.210985E+08   0.210980E+08   0.158377E+08   0.158349E+08   0.158348E+08   0.158433E+08  -0.536734E+00   0.115431E+08   0.115431E+08   0.115048E+02
   0.147853E-04   0.158348E+08   0.158348E+08   0.210953E+08   0.210947E+08   0.158377E+08   0.158348E+08   0.158348E+08   0.158433E+08  -0.536734E+00   0.115431E+08   0.115431E+08   0.127027E+02
   0.163256E-04   0.158348E+08   0.158348E+08   0.210913E+08   0.210906E+08   0.158376E+08   0.158348E+08   0.158348E+08   0.158433E+08  -0.536733E+00   0.115431E+08   0.115431E+08   0.140252E+02
   0.180263E-04   0.158348E+08   0.158348E+08   0.210866E+08   0.210857E+08   0.158376E+08   0.158348E+08   0.158348E+08   0.158433E+08  -0.536733E+00   0.115431E+08   0.115431E+08   0.154852E+02
   0.199043E-04   0.158348E+08   0.158348E+08   0.210807E+08   0.210796E+08   0.158376E+08   0.158348E+08   0.158348E+08   0.158433E+08  -0.536732E+00   0.115431E+08   0.115431E+08   0.170970E+02
   0.219778E-04   0.158348E+08   0.158348E+08   0.210736E+08   0.210723E+08   0.158375E+08   0.158348E+08   0.158348E+08   0.158432E+08  -0.536731E+00   0.115431E+08   0.115431E+08   0.188761E+02
   0.242674E-04   0.158348E+08   0.158347E+08   0.210650E+08   0.210633E+08   0.158375E+08   0.158348E+08   0.158348E+08   0.158432E+08  -0.536730E+00   0.115431E+08   0.115430E+08   0.208399E+02
   0.267954E-04   0.158347E+08   0.158347E+08   0.210544E+08   0.210524E+08   0.158374E+08   0.158347E+08   0.158347E+08   0.158432E+08  -0.536729E+00   0.115430E+08   0.115430E+08   0.230074E+02
   0.295869E-04   0.158347E+08   0.158347E+08   0.210416E+08   0.210391E+08   0.158373E+08   0.158347E+08   0.158347E+08   0.158431E+08  -0.536728E+00   0.115430E+08   0.115430E+08   0.253994E+02
   0.326691E-04   0.158347E+08   0.158346E+08   0.210259E+08   0.210229E+08   0.158372E+08   0.158347E+08   0.158347E+08   0.158431E+08  -0.536726E+00   0.115430E+08   0.115430E+08   0.280390E+02
   0.360725E-04   0.158346E+08   0.158346E+08   0.210068E+08   0.210032E+08   0.158370E+08   0.158346E+08   0.158346E+08   0.158430E+08  -0.536724E+00   0.115429E+08   0.115429E+08   0.309514E+02
   0.398303E-04   0.158345E+08   0.158345E+08   0.209836E+08   0.209792E+08   0.158369E+08   0.158346E+08   0.158345E+08   0.158430E+08  -0.536722E+00   0.115429E+08   0.115429E+08   0.341642E+02
   0.439797E-04   0.158345E+08   0.158345E+08   0.209553E+08   0.209499E+08   0.158367E+08   0.158345E+08   0.158345E+08   0.158429E+08  -0.536719E+00   0.115428E+08   0.115428E+08   0.377077E+02
   0.485613E-04   0.158344E+08   0.158344E+08   0.209208E+08   0.209143E+08   0.158364E+08   0.158344E+08   0.158344E+08   0.158428E+08  -0.536715E+00   0.115428E+08   0.115428E+08   0.416149E+02
   0.536203E-04   0.158343E+08   0.158343E+08   0.208789E+08   0.208709E+08   0.158361E+08   0.158343E+08   0.158343E+08   0.158427E+08  -0.536710E+00   0.115427E+08   0.115427E+08   0.459219E+02
