#    L    TT             EE             BB             TE          
     2   0.113082E+04   0.548825E-01   0.147873E-05   0.340078E+01
     3   0.105250E+04   0.883161E-01   0.295794E-05   0.425198E+01
     4   0.979864E+03   0.977606E-01   0.493095E-05   0.435966E+01
     5   0.923915E+03   0.853461E-01   0.739838E-05   0.402841E+01
     6   0.883237E+03   0.620405E-01   0.103610E-04   0.349301E+01
     7   0.854908E+03   0.388955E-01   0.138197E-04   0.290210E+01
     8   0.835704E+03   0.222320E-01   0.177756E-04   0.234606E+01
     9   0.823487E+03   0.131244E-01   0.222297E-04   0.187100E+01
    10   0.816691E+03   0.944647E-02   0.271834E-04   0.150169E+01
    11   0.813742E+03   0.832529E-02   0.326381E-04   0.124613E+01
    12   0.814751E+03   0.777853E-02   0.385952E-04   0.110164E+01
    13   0.817934E+03   0.695600E-02   0.450562E-04   0.104398E+01
    14   0.822352E+03   0.605735E-02   0.520229E-04   0.104429E+01
    15   0.828266E+03   0.537355E-02   0.594968E-04   0.108349E+01
    16   0.836048E+03   0.511070E-02   0.674798E-04   0.114586E+01
    17   0.845609E+03   0.526456E-02   0.759734E-04   0.121637E+01
    18   0.855997E+03   0.559339E-02   0.849796E-04   0.128340E+01
    19   0.868036E+03   0.596428E-02   0.945001E-04   0.134145E+01
    20   0.880044E+03   0.635508E-02   0.104537E-03   0.138574E+01
    21   0.892367E+03   0.681050E-02   0.115091E-03   0.142228E+01
    22   0.905276E+03   0.746248E-02   0.126164E-03   0.145740E+01
    23   0.918579E+03   0.836579E-02   0.137759E-03   0.149267E+01
    24   0.932332E+03   0.951636E-02   0.149876E-03   0.152878E+01
    25   0.946475E+03   0.109233E-01   0.162518E-03   0.156761E+01
    26   0.960818E+03   0.125549E-01   0.175685E-03   0.161177E+01
    27   0.975594E+03   0.143673E-01   0.189378E-03   0.165829E+01
    28   0.990655E+03   0.163478E-01   0.203600E-03   0.170435E+01
    29   0.100605E+04   0.185057E-01   0.218351E-03   0.174802E+01
    30   0.102170E+04   0.208576E-01   0.233632E-03   0.178620E+01
    31   0.103748E+04   0.233884E-01   0.249444E-03   0.181652E+01
    32   0.105362E+04   0.260721E-01   0.265787E-03   0.183666E+01
    33   0.107013E+04   0.289197E-01   0.282663E-03   0.184397E+01
    34   0.108685E+04   0.319613E-01   0.300071E-03   0.183773E+01
    35   0.110373E+04   0.352181E-01   0.318012E-03   0.182218E+01
    36   0.112069E+04   0.387101E-01   0.336487E-03   0.180019E+01
    37   0.113777E+04   0.424307E-01   0.355494E-03   0.176784E+01
    38   0.115526E+04   0.463765E-01   0.375035E-03   0.172286E+01
    39   0.117314E+04   0.505590E-01   0.395108E-03   0.166737E+01
    40   0.119115E+04   0.549987E-01   0.415714E-03   0.160437E+01
    41   0.120938E+04   0.597164E-01   0.436852E-03   0.153571E+01
    42   0.122762E+04   0.647132E-01   0.458521E-03   0.145948E+01
    43   0.124599E+04   0.699854E-01   0.480721E-03   0.137283E+01
    44   0.126436E+04   0.755142E-01   0.503451E-03   0.127383E+01
    45   0.128309E+04   0.812913E-01   0.526710E-03   0.116058E+01
    46   0.130211E+04   0.873134E-01   0.550498E-03   0.102996E+01
    47   0.132127E+04   0.935829E-01   0.574812E-03   0.883780E+00
    48   0.134052E+04   0.100111E+00   0.599653E-03   0.727695E+00
    49   0.135993E+04   0.106886E+00   0.625019E-03   0.566788E+00
    50   0.137974E+04   0.113890E+00   0.650910E-03   0.399353E+00
    51   0.139972E+04   0.121099E+00   0.677323E-03   0.221857E+00
    52   0.142009E+04   0.128595E+00   0.704259E-03   0.290727E-01
    53   0.144048E+04   0.136522E+00   0.731715E-03  -0.182797E+00
    54   0.146079E+04   0.144866E+00   0.759691E-03  -0.409584E+00
    55   0.148125E+04   0.153601E+00   0.788187E-03  -0.647003E+00
    56   0.150205E+04   0.162580E+00   0.817201E-03  -0.896850E+00
    57   0.152315E+04   0.171697E+00   0.846732E-03  -0.115895E+01
    58   0.154453E+04   0.180963E+00   0.876780E-03  -0.143388E+01
    59   0.156608E+04   0.190420E+00   0.907343E-03  -0.172222E+01
    60   0.158779E+04   0.200125E+00   0.938422E-03  -0.202311E+01
    61   0.160996E+04   0.210173E+00   0.970017E-03  -0.233562E+01
    62   0.163202E+04   0.220550E+00   0.100213E-02  -0.266071E+01
    63   0.165418E+04   0.231212E+00   0.103475E-02  -0.299946E+01
    64   0.167674E+04   0.242170E+00   0.106789E-02  -0.335319E+01
    65   0.169934E+04   0.253396E+00   0.110154E-02  -0.372260E+01
    66   0.172226E+04   0.264821E+00   0.113571E-02  -0.410589E+01
    67   0.174535E+04   0.276446E+00   0.117039E-02  -0.450022E+01
    68   0.176886E+04   0.288314E+00   0.120559E-02  -0.490380E+01
    69   0.179256E+04   0.300383E+00   0.124131E-02  -0.531474E+01
    70   0.181656E+04   0.312695E+00   0.127754E-02  -0.573460E+01
    71   0.184070E+04   0.325241E+00   0.131429E-02  -0.616569E+01
    72   0.186501E+04   0.337993E+00   0.135157E-02  -0.660942E+01
    73   0.188947E+04   0.350917E+00   0.138936E-02  -0.706650E+01
    74   0.191413E+04   0.364002E+00   0.142768E-02  -0.753614E+01
    75   0.193911E+04   0.377259E+00   0.146652E-02  -0.801695E+01
    76   0.196436E+04   0.390687E+00   0.150589E-02  -0.850837E+01
    77   0.198994E+04   0.404280E+00   0.154579E-02  -0.901023E+01
    78   0.201588E+04   0.418062E+00   0.158622E-02  -0.952391E+01
    79   0.204199E+04   0.431978E+00   0.162718E-02  -0.100456E+02
    80   0.206838E+04   0.446033E+00   0.166867E-02  -0.105767E+02
    81   0.209495E+04   0.460176E+00   0.171070E-02  -0.111176E+02
    82   0.212177E+04   0.474428E+00   0.175328E-02  -0.116674E+02
    83   0.214877E+04   0.488765E+00   0.179639E-02  -0.122256E+02
    84   0.217603E+04   0.503184E+00   0.184006E-02  -0.127902E+02
    85   0.220341E+04   0.517659E+00   0.188427E-02  -0.133623E+02
    86   0.223099E+04   0.532202E+00   0.192903E-02  -0.139407E+02
    87   0.225900E+04   0.546785E+00   0.197434E-02  -0.145248E+02
    88   0.228698E+04   0.561421E+00   0.202021E-02  -0.151147E+02
    89   0.231532E+04   0.576096E+00   0.206665E-02  -0.157119E+02
    90   0.234386E+04   0.590773E+00   0.211364E-02  -0.163136E+02
    91   0.237253E+04   0.605444E+00   0.216120E-02  -0.169206E+02
    92   0.240149E+04   0.620096E+00   0.220933E-02  -0.175322E+02
    93   0.243072E+04   0.634722E+00   0.225803E-02  -0.181485E+02
    94   0.246002E+04   0.649284E+00   0.230731E-02  -0.187680E+02
    95   0.248960E+04   0.663785E+00   0.235717E-02  -0.193915E+02
    96   0.251917E+04   0.678210E+00   0.240761E-02  -0.200183E+02
    97   0.254917E+04   0.692545E+00   0.245863E-02  -0.206476E+02
    98   0.257939E+04   0.706782E+00   0.251024E-02  -0.212773E+02
    99   0.260967E+04   0.720887E+00   0.256244E-02  -0.219104E+02
   100   0.264023E+04   0.734859E+00   0.261524E-02  -0.225424E+02
   101   0.267094E+04   0.748759E+00   0.266863E-02  -0.231764E+02
   102   0.270216E+04   0.762439E+00   0.272262E-02  -0.238101E+02
   103   0.273329E+04   0.775974E+00   0.277722E-02  -0.244444E+02
   104   0.276464E+04   0.789365E+00   0.283242E-02  -0.250762E+02
   105   0.279614E+04   0.802538E+00   0.288824E-02  -0.257072E+02
   106   0.282785E+04   0.815568E+00   0.294467E-02  -0.263366E+02
   107   0.285949E+04   0.828308E+00   0.300171E-02  -0.269629E+02
   108   0.289149E+04   0.840833E+00   0.305937E-02  -0.275870E+02
   109   0.292364E+04   0.853069E+00   0.311766E-02  -0.282073E+02
   110   0.295586E+04   0.865016E+00   0.317658E-02  -0.288225E+02
   111   0.298823E+04   0.876751E+00   0.323612E-02  -0.294340E+02
   112   0.302075E+04   0.888199E+00   0.329630E-02  -0.300410E+02
   113   0.305348E+04   0.899360E+00   0.335711E-02  -0.306422E+02
   114   0.308629E+04   0.910161E+00   0.341857E-02  -0.312367E+02
   115   0.311931E+04   0.920751E+00   0.348067E-02  -0.318245E+02
   116   0.315233E+04   0.930906E+00   0.354342E-02  -0.324048E+02
   117   0.318564E+04   0.940702E+00   0.360683E-02  -0.329769E+02
   118   0.321908E+04   0.950289E+00   0.367089E-02  -0.335416E+02
   119   0.325252E+04   0.959516E+00   0.373561E-02  -0.340965E+02
   120   0.328610E+04   0.968237E+00   0.380100E-02  -0.346416E+02
   121   0.331966E+04   0.976749E+00   0.386706E-02  -0.351770E+02
   122   0.335329E+04   0.984755E+00   0.393380E-02  -0.357018E+02
   123   0.338698E+04   0.992330E+00   0.400121E-02  -0.362161E+02
   124   0.342073E+04   0.999549E+00   0.406931E-02  -0.367169E+02
   125   0.345446E+04   0.100634E+01   0.413810E-02  -0.372063E+02
   126   0.348825E+04   0.101277E+01   0.420759E-02  -0.376837E+02
   127   0.352202E+04   0.101870E+01   0.427778E-02  -0.381482E+02
   128   0.355577E+04   0.102427E+01   0.434867E-02  -0.385991E+02
   129   0.358958E+04   0.102934E+01   0.442028E-02  -0.390357E+02
   130   0.362337E+04   0.103391E+01   0.449261E-02  -0.394571E+02
   131   0.365713E+04   0.103813E+01   0.456566E-02  -0.398649E+02
   132   0.369095E+04   0.104184E+01   0.463944E-02  -0.402562E+02
   133   0.372468E+04   0.104513E+01   0.471396E-02  -0.406331E+02
   134   0.375838E+04   0.104799E+01   0.478922E-02  -0.409913E+02
   135   0.379208E+04   0.105035E+01   0.486524E-02  -0.413337E+02
   136   0.382560E+04   0.105221E+01   0.494201E-02  -0.416568E+02
   137   0.385911E+04   0.105364E+01   0.501954E-02  -0.419627E+02
   138   0.389254E+04   0.105457E+01   0.509784E-02  -0.422501E+02
   139   0.392573E+04   0.105516E+01   0.517691E-02  -0.425182E+02
   140   0.395898E+04   0.105517E+01   0.525677E-02  -0.427678E+02
   141   0.399200E+04   0.105469E+01   0.533742E-02  -0.429967E+02
   142   0.402502E+04   0.105378E+01   0.541886E-02  -0.432057E+02
   143   0.405795E+04   0.105245E+01   0.550110E-02  -0.433949E+02
   144   0.409065E+04   0.105062E+01   0.558415E-02  -0.435635E+02
   145   0.412320E+04   0.104844E+01   0.566802E-02  -0.437108E+02
   146   0.415582E+04   0.104570E+01   0.575271E-02  -0.438369E+02
   147   0.418807E+04   0.104261E+01   0.583822E-02  -0.439403E+02
   148   0.422017E+04   0.103902E+01   0.592456E-02  -0.440226E+02
   149   0.425220E+04   0.103501E+01   0.601175E-02  -0.440823E+02
   150   0.428393E+04   0.103066E+01   0.609977E-02  -0.441172E+02
   151   0.431551E+04   0.102589E+01   0.618864E-02  -0.441303E+02
   152   0.434680E+04   0.102062E+01   0.627837E-02  -0.441202E+02
   153   0.437794E+04   0.101501E+01   0.636895E-02  -0.440846E+02
   154   0.440886E+04   0.100905E+01   0.646040E-02  -0.440257E+02
   155   0.443956E+04   0.100275E+01   0.655271E-02  -0.439428E+02
   156   0.446988E+04   0.996100E+00   0.664588E-02  -0.438359E+02
   157   0.450013E+04   0.989104E+00   0.673993E-02  -0.437035E+02
   158   0.453008E+04   0.981837E+00   0.683486E-02  -0.435464E+02
   159   0.455973E+04   0.974148E+00   0.693066E-02  -0.433645E+02
   160   0.458915E+04   0.966186E+00   0.702735E-02  -0.431563E+02
   161   0.461835E+04   0.958026E+00   0.712491E-02  -0.429234E+02
   162   0.464724E+04   0.949519E+00   0.722336E-02  -0.426657E+02
   163   0.467598E+04   0.940737E+00   0.732269E-02  -0.423818E+02
   164   0.470427E+04   0.931757E+00   0.742290E-02  -0.420731E+02
   165   0.473240E+04   0.922502E+00   0.752400E-02  -0.417374E+02
   166   0.476023E+04   0.913122E+00   0.762597E-02  -0.413761E+02
   167   0.478782E+04   0.903393E+00   0.772884E-02  -0.409901E+02
   168   0.481496E+04   0.893687E+00   0.783258E-02  -0.405771E+02
   169   0.484179E+04   0.883705E+00   0.793720E-02  -0.401371E+02
   170   0.486832E+04   0.873671E+00   0.804270E-02  -0.396716E+02
   171   0.489438E+04   0.863585E+00   0.814907E-02  -0.391783E+02
   172   0.492007E+04   0.853371E+00   0.825632E-02  -0.386587E+02
   173   0.494529E+04   0.843030E+00   0.836443E-02  -0.381129E+02
   174   0.497021E+04   0.832857E+00   0.847340E-02  -0.375408E+02
   175   0.499473E+04   0.822557E+00   0.858324E-02  -0.369416E+02
   176   0.501873E+04   0.812351E+00   0.869393E-02  -0.363155E+02
   177   0.504234E+04   0.802165E+00   0.880547E-02  -0.356638E+02
