#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.113082E+04   0.548810E-01   0.000000E+00   0.340078E+01   0.487590E-07   0.343594E-02  -0.163875E-04
     3   0.105250E+04   0.883132E-01   0.000000E+00   0.425198E+01   0.592889E-07   0.341526E-02  -0.198898E-04
     4   0.979855E+03   0.977556E-01   0.000000E+00   0.435966E+01   0.682600E-07   0.332349E-02  -0.198384E-04
     5   0.923901E+03   0.853387E-01   0.000000E+00   0.402841E+01   0.760207E-07   0.320524E-02  -0.172798E-04
     6   0.883217E+03   0.620302E-01   0.000000E+00   0.349302E+01   0.827751E-07   0.307914E-02  -0.131638E-04
     7   0.854881E+03   0.388817E-01   0.000000E+00   0.290210E+01   0.887053E-07   0.295491E-02  -0.840210E-05
     8   0.835669E+03   0.222143E-01   0.000000E+00   0.234607E+01   0.939388E-07   0.283321E-02  -0.381818E-05
     9   0.823444E+03   0.131022E-01   0.000000E+00   0.187100E+01   0.985834E-07   0.271323E-02  -0.502691E-07
    10   0.816638E+03   0.941929E-02   0.000000E+00   0.150170E+01   0.102708E-06   0.259700E-02   0.256676E-05
    11   0.813679E+03   0.829265E-02   0.000000E+00   0.124615E+01   0.106404E-06   0.248958E-02   0.399358E-05
    12   0.814677E+03   0.773994E-02   0.000000E+00   0.110166E+01   0.109695E-06   0.239252E-02   0.432897E-05
    13   0.817848E+03   0.691095E-02   0.000000E+00   0.104400E+01   0.112626E-06   0.230443E-02   0.374407E-05
    14   0.822253E+03   0.600534E-02   0.000000E+00   0.104432E+01   0.115248E-06   0.222343E-02   0.246534E-05
    15   0.828153E+03   0.531406E-02   0.000000E+00   0.108353E+01   0.117593E-06   0.214669E-02   0.915472E-06
    16   0.835921E+03   0.504324E-02   0.000000E+00   0.114591E+01   0.119686E-06   0.207208E-02  -0.494951E-06
    17   0.845467E+03   0.518861E-02   0.000000E+00   0.121644E+01   0.121553E-06   0.200080E-02  -0.156765E-05
    18   0.855839E+03   0.550844E-02   0.000000E+00   0.128348E+01   0.123222E-06   0.193433E-02  -0.220123E-05
    19   0.867861E+03   0.586983E-02   0.000000E+00   0.134155E+01   0.124701E-06   0.187189E-02  -0.246863E-05
    20   0.879852E+03   0.625061E-02   0.000000E+00   0.138586E+01   0.126003E-06   0.181236E-02  -0.246071E-05
    21   0.892158E+03   0.669549E-02   0.000000E+00   0.142242E+01   0.127146E-06   0.175519E-02  -0.217444E-05
    22   0.905047E+03   0.733643E-02   0.000000E+00   0.145757E+01   0.128152E-06   0.170016E-02  -0.162346E-05
    23   0.918332E+03   0.822818E-02   0.000000E+00   0.149287E+01   0.129029E-06   0.164762E-02  -0.980511E-06
    24   0.932065E+03   0.936668E-02   0.000000E+00   0.152901E+01   0.129785E-06   0.159794E-02  -0.438454E-06
    25   0.946188E+03   0.107610E-01   0.000000E+00   0.156788E+01   0.130429E-06   0.155103E-02  -0.118130E-06
    26   0.960510E+03   0.123795E-01   0.000000E+00   0.161207E+01   0.130974E-06   0.150662E-02  -0.785334E-07
    27   0.975265E+03   0.141783E-01   0.000000E+00   0.165864E+01   0.131428E-06   0.146431E-02  -0.205000E-06
    28   0.990304E+03   0.161447E-01   0.000000E+00   0.170475E+01   0.131797E-06   0.142377E-02  -0.366150E-06
    29   0.100568E+04   0.182879E-01   0.000000E+00   0.174847E+01   0.132082E-06   0.138521E-02  -0.533173E-06
    30   0.102131E+04   0.206247E-01   0.000000E+00   0.178671E+01   0.132285E-06   0.134883E-02  -0.707424E-06
    31   0.103706E+04   0.231398E-01   0.000000E+00   0.181708E+01   0.132415E-06   0.131424E-02  -0.908699E-06
    32   0.105318E+04   0.258074E-01   0.000000E+00   0.183729E+01   0.132484E-06   0.128095E-02  -0.114021E-05
    33   0.106967E+04   0.286383E-01   0.000000E+00   0.184467E+01   0.132497E-06   0.124865E-02  -0.132093E-05
    34   0.108636E+04   0.316628E-01   0.000000E+00   0.183850E+01   0.132454E-06   0.121715E-02  -0.136506E-05
    35   0.110321E+04   0.349018E-01   0.000000E+00   0.182303E+01   0.132361E-06   0.118647E-02  -0.125029E-05
    36   0.112015E+04   0.383758E-01   0.000000E+00   0.180111E+01   0.132221E-06   0.115678E-02  -0.995746E-06
    37   0.113720E+04   0.420776E-01   0.000000E+00   0.176885E+01   0.132038E-06   0.112858E-02  -0.722845E-06
    38   0.115467E+04   0.460043E-01   0.000000E+00   0.172396E+01   0.131814E-06   0.110226E-02  -0.545382E-06
    39   0.117253E+04   0.501673E-01   0.000000E+00   0.166855E+01   0.131553E-06   0.107746E-02  -0.446258E-06
    40   0.119051E+04   0.545870E-01   0.000000E+00   0.160564E+01   0.131255E-06   0.105364E-02  -0.375888E-06
    41   0.120872E+04   0.592841E-01   0.000000E+00   0.153707E+01   0.130924E-06   0.103036E-02  -0.295846E-06
    42   0.122692E+04   0.642600E-01   0.000000E+00   0.146094E+01   0.130560E-06   0.100761E-02  -0.211640E-06
    43   0.124527E+04   0.695107E-01   0.000000E+00   0.137440E+01   0.130168E-06   0.985468E-03  -0.139697E-06
    44   0.126361E+04   0.750176E-01   0.000000E+00   0.127549E+01   0.129748E-06   0.964029E-03  -0.963974E-07
    45   0.128232E+04   0.807725E-01   0.000000E+00   0.116234E+01   0.129303E-06   0.943379E-03  -0.980722E-07
    46   0.130131E+04   0.867719E-01   0.000000E+00   0.103183E+01   0.128835E-06   0.923570E-03  -0.155007E-06
    47   0.132045E+04   0.930183E-01   0.000000E+00   0.885754E+00   0.128347E-06   0.904494E-03  -0.253455E-06
    48   0.133966E+04   0.995229E-01   0.000000E+00   0.729773E+00   0.127839E-06   0.886008E-03  -0.373715E-06
    49   0.135905E+04   0.106274E+00   0.000000E+00   0.568968E+00   0.127314E-06   0.867970E-03  -0.496141E-06
    50   0.137882E+04   0.113254E+00   0.000000E+00   0.401634E+00   0.126772E-06   0.850235E-03  -0.601138E-06
    51   0.139878E+04   0.120439E+00   0.000000E+00   0.224238E+00   0.126216E-06   0.832714E-03  -0.673391E-06
    52   0.141912E+04   0.127909E+00   0.000000E+00   0.315505E-01   0.125646E-06   0.815517E-03  -0.714563E-06
    53   0.143948E+04   0.135810E+00   0.000000E+00  -0.180226E+00   0.125063E-06   0.798806E-03  -0.730541E-06
    54   0.145977E+04   0.144129E+00   0.000000E+00  -0.406923E+00   0.124468E-06   0.782741E-03  -0.727194E-06
    55   0.148019E+04   0.152838E+00   0.000000E+00  -0.644256E+00   0.123862E-06   0.767483E-03  -0.710381E-06
    56   0.150097E+04   0.161791E+00   0.000000E+00  -0.894024E+00   0.123247E-06   0.753141E-03  -0.685247E-06
    57   0.152203E+04   0.170881E+00   0.000000E+00  -0.115605E+01   0.122622E-06   0.739606E-03  -0.654143E-06
    58   0.154339E+04   0.180120E+00   0.000000E+00  -0.143091E+01   0.121988E-06   0.726718E-03  -0.618718E-06
    59   0.156490E+04   0.189551E+00   0.000000E+00  -0.171919E+01   0.121346E-06   0.714317E-03  -0.580619E-06
    60   0.158658E+04   0.199228E+00   0.000000E+00  -0.202004E+01   0.120696E-06   0.702243E-03  -0.541489E-06
    61   0.160873E+04   0.209249E+00   0.000000E+00  -0.233251E+01   0.120040E-06   0.690359E-03  -0.503031E-06
    62   0.163076E+04   0.219598E+00   0.000000E+00  -0.265756E+01   0.119376E-06   0.678621E-03  -0.467187E-06
    63   0.165289E+04   0.230232E+00   0.000000E+00  -0.299630E+01   0.118708E-06   0.667005E-03  -0.435960E-06
    64   0.167542E+04   0.241162E+00   0.000000E+00  -0.335002E+01   0.118035E-06   0.655489E-03  -0.411348E-06
    65   0.169798E+04   0.252360E+00   0.000000E+00  -0.371944E+01   0.117359E-06   0.644052E-03  -0.395349E-06
    66   0.172088E+04   0.263756E+00   0.000000E+00  -0.410275E+01   0.116680E-06   0.632691E-03  -0.389833E-06
    67   0.174393E+04   0.275353E+00   0.000000E+00  -0.449712E+01   0.115999E-06   0.621489E-03  -0.396168E-06
    68   0.176742E+04   0.287192E+00   0.000000E+00  -0.490075E+01   0.115317E-06   0.610550E-03  -0.415595E-06
    69   0.179108E+04   0.299232E+00   0.000000E+00  -0.531176E+01   0.114633E-06   0.599975E-03  -0.449358E-06
    70   0.181505E+04   0.311516E+00   0.000000E+00  -0.573172E+01   0.113948E-06   0.589868E-03  -0.498697E-06
    71   0.183916E+04   0.324032E+00   0.000000E+00  -0.616291E+01   0.113263E-06   0.580301E-03  -0.562760E-06
    72   0.186345E+04   0.336755E+00   0.000000E+00  -0.660678E+01   0.112578E-06   0.571226E-03  -0.632338E-06
    73   0.188788E+04   0.349650E+00   0.000000E+00  -0.706401E+01   0.111892E-06   0.562565E-03  -0.696140E-06
    74   0.191251E+04   0.362706E+00   0.000000E+00  -0.753381E+01   0.111206E-06   0.554240E-03  -0.742891E-06
    75   0.193746E+04   0.375933E+00   0.000000E+00  -0.801482E+01   0.110520E-06   0.546171E-03  -0.761325E-06
    76   0.196268E+04   0.389333E+00   0.000000E+00  -0.850647E+01   0.109833E-06   0.538290E-03  -0.744170E-06
    77   0.198823E+04   0.402896E+00   0.000000E+00  -0.900857E+01   0.109147E-06   0.530553E-03  -0.700087E-06
    78   0.201414E+04   0.416649E+00   0.000000E+00  -0.952253E+01   0.108461E-06   0.522927E-03  -0.641705E-06
    79   0.204022E+04   0.430536E+00   0.000000E+00  -0.100445E+02   0.107775E-06   0.515376E-03  -0.581642E-06
    80   0.206659E+04   0.444561E+00   0.000000E+00  -0.105759E+02   0.107091E-06   0.507868E-03  -0.532504E-06
    81   0.209313E+04   0.458675E+00   0.000000E+00  -0.111172E+02   0.106409E-06   0.500380E-03  -0.504426E-06
    82   0.211992E+04   0.472898E+00   0.000000E+00  -0.116674E+02   0.105728E-06   0.492944E-03  -0.497713E-06
    83   0.214690E+04   0.487205E+00   0.000000E+00  -0.122260E+02   0.105050E-06   0.485602E-03  -0.510212E-06
    84   0.217413E+04   0.501595E+00   0.000000E+00  -0.127910E+02   0.104374E-06   0.478398E-03  -0.539775E-06
    85   0.220149E+04   0.516040E+00   0.000000E+00  -0.133636E+02   0.103700E-06   0.471377E-03  -0.584254E-06
    86   0.222905E+04   0.530555E+00   0.000000E+00  -0.139426E+02   0.103030E-06   0.464570E-03  -0.640997E-06
    87   0.225703E+04   0.545108E+00   0.000000E+00  -0.145273E+02   0.102362E-06   0.457974E-03  -0.705314E-06
    88   0.228499E+04   0.559715E+00   0.000000E+00  -0.151177E+02   0.101697E-06   0.451571E-03  -0.772013E-06
    89   0.231330E+04   0.574361E+00   0.000000E+00  -0.157156E+02   0.101036E-06   0.445347E-03  -0.835903E-06
    90   0.234182E+04   0.589008E+00   0.000000E+00  -0.163179E+02   0.100378E-06   0.439287E-03  -0.891799E-06
