#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.158349E+08   0.158349E+08   0.211051E+08   0.211048E+08   0.158377E+08   0.158349E+08   0.158349E+08   0.158433E+08  -0.536735E+00   0.115431E+08   0.115431E+08   0.854682E+01
   0.109829E-04   0.158348E+08   0.158348E+08   0.211033E+08   0.211030E+08   0.158377E+08   0.158349E+08   0.158348E+08   0.158433E+08  -0.536735E+00   0.115431E+08   0.115431E+08   0.943699E+01
   0.121271E-04   0.158348E+08   0.158348E+08   0.211011E+08   0.211007E+08   0.158377E+08   0.158349E+08   0.158348E+08   0.158433E+08  -0.536734E+00   0.115431E+08   0.115431E+08   0.104198E+02
   0.133905E-04   0.158348E+08   0.158348E+08   0.210985E+08   0.210980E+08   0.158377E+08   0.158349E+08   0.158348E+08   0.158433E+08  -0.536734E+00   0.115431E+08   0.115431E+08   0.115049E+02
   0.147856E-04   0.158348E+08   0.158348E+08   0.210953E+08   0.210947E+08   0.158377E+08   0.158348E+08   0.158348E+08   0.158433E+08  -0.536734E+00   0.115431E+08   0.115431E+08   0.127029E+02
   0.163259E-04   0.158348E+08   0.158348E+08   0.210913E+08   0.210906E+08   0.158376E+08   0.158348E+08   0.158348E+08   0.158433E+08  -0.536733E+00   0.115431E+08   0.115431E+08   0.140255E+02
   0.180268E-04   0.158348E+08   0.158348E+08   0.210866E+08   0.210857E+08   0.158376E+08   0.158348E+08   0.158348E+08   0.158433E+08  -0.536733E+00   0.115431E+08   0.115431E+08   0.154856E+02
   0.199048E-04   0.158348E+08   0.158348E+08   0.210807E+08   0.210796E+08   0.158376E+08   0.158348E+08   0.158348E+08   0.158433E+08  -0.536732E+00   0.115431E+08   0.115431E+08   0.170974E+02
   0.219785E-04   0.158348E+08   0.158348E+08   0.210736E+08   0.210723E+08   0.158375E+08   0.158348E+08   0.158348E+08   0.158432E+08  -0.536731E+00   0.115431E+08   0.115431E+08   0.188767E+02
   0.242682E-04   0.158348E+08   0.158347E+08   0.210650E+08   0.210633E+08   0.158375E+08   0.158348E+08   0.158348E+08   0.158432E+08  -0.536730E+00   0.115431E+08   0.115430E+08   0.208406E+02
