#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.125873E+08   0.125873E+08   0.167782E+08   0.167780E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.100536E+02
   0.109829E-04   0.125873E+08   0.125873E+08   0.167771E+08   0.167769E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.111008E+02
   0.121271E-04   0.125873E+08   0.125873E+08   0.167757E+08   0.167755E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.122569E+02
   0.133905E-04   0.125873E+08   0.125873E+08   0.167741E+08   0.167738E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.135334E+02
   0.147856E-04   0.125873E+08   0.125873E+08   0.167721E+08   0.167717E+08   0.125907E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569018E+00   0.107761E+08   0.107761E+08   0.149427E+02
   0.163259E-04   0.125873E+08   0.125873E+08   0.167697E+08   0.167692E+08   0.125906E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569018E+00   0.107761E+08   0.107761E+08   0.164987E+02
   0.180268E-04   0.125873E+08   0.125873E+08   0.167668E+08   0.167662E+08   0.125906E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569017E+00   0.107761E+08   0.107761E+08   0.182164E+02
   0.199048E-04   0.125873E+08   0.125873E+08   0.167632E+08   0.167625E+08   0.125906E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569017E+00   0.107761E+08   0.107761E+08   0.201127E+02
   0.219785E-04   0.125873E+08   0.125873E+08   0.167588E+08   0.167579E+08   0.125905E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569016E+00   0.107761E+08   0.107761E+08   0.222061E+02
   0.242682E-04   0.125873E+08   0.125873E+08   0.167535E+08   0.167524E+08   0.125905E+08   0.125873E+08   0.125873E+08   0.125962E+08  -0.569015E+00   0.107761E+08   0.107761E+08   0.245169E+02
   0.267965E-04   0.125872E+08   0.125872E+08   0.167470E+08   0.167457E+08   0.125904E+08   0.125873E+08   0.125872E+08   0.125962E+08  -0.569014E+00   0.107760E+08   0.107760E+08   0.270675E+02
   0.295882E-04   0.125872E+08   0.125872E+08   0.167391E+08   0.167375E+08   0.125903E+08   0.125872E+08   0.125872E+08   0.125962E+08  -0.569012E+00   0.107760E+08   0.107760E+08   0.298826E+02
   0.326707E-04   0.125872E+08   0.125872E+08   0.167295E+08   0.167275E+08   0.125902E+08   0.125872E+08   0.125872E+08   0.125961E+08  -0.569011E+00   0.107760E+08   0.107760E+08   0.329892E+02
   0.360743E-04   0.125872E+08   0.125872E+08   0.167177E+08   0.167153E+08   0.125901E+08   0.125872E+08   0.125872E+08   0.125961E+08  -0.569009E+00   0.107760E+08   0.107760E+08   0.364173E+02
   0.398325E-04   0.125871E+08   0.125871E+08   0.167034E+08   0.167005E+08   0.125900E+08   0.125871E+08   0.125871E+08   0.125960E+08  -0.569006E+00   0.107759E+08   0.107759E+08   0.401995E+02
   0.439823E-04   0.125871E+08   0.125870E+08   0.166860E+08   0.166824E+08   0.125898E+08   0.125871E+08   0.125871E+08   0.125960E+08  -0.569003E+00   0.107759E+08   0.107759E+08   0.443717E+02
   0.485644E-04   0.125870E+08   0.125870E+08   0.166648E+08   0.166604E+08   0.125896E+08   0.125870E+08   0.125870E+08   0.125959E+08  -0.568999E+00   0.107758E+08   0.107758E+08   0.489731E+02
   0.536238E-04   0.125869E+08   0.125869E+08   0.166390E+08   0.166336E+08   0.125893E+08   0.125869E+08   0.125869E+08   0.125958E+08  -0.568995E+00   0.107758E+08   0.107757E+08   0.540465E+02
   0.592104E-04   0.125868E+08   0.125868E+08   0.166075E+08   0.166010E+08   0.125890E+08   0.125868E+08   0.125868E+08   0.125957E+08  -0.568989E+00   0.107757E+08   0.107757E+08   0.596385E+02
   0.653789E-04   0.125867E+08   0.125867E+08   0.165692E+08   0.165613E+08   0.125886E+08   0.125867E+08   0.125867E+08   0.125955E+08  -0.568982E+00   0.107756E+08   0.107755E+08   0.657998E+02
   0.721901E-04   0.125865E+08   0.125865E+08   0.165227E+08   0.165130E+08   0.125881E+08   0.125865E+08   0.125865E+08   0.125954E+08  -0.568974E+00   0.107754E+08   0.107754E+08   0.725852E+02
   0.797109E-04   0.125864E+08   0.125863E+08   0.164661E+08   0.164543E+08   0.125875E+08   0.125864E+08   0.125864E+08   0.125952E+08  -0.568964E+00   0.107753E+08   0.107753E+08   0.800534E+02
   0.880152E-04   0.125861E+08   0.125861E+08   0.163974E+08   0.163831E+08   0.125868E+08   0.125861E+08   0.125861E+08   0.125949E+08  -0.568951E+00   0.107751E+08   0.107751E+08   0.882675E+02
   0.971847E-04   0.125859E+08   0.125858E+08   0.163139E+08   0.162966E+08   0.125860E+08   0.125859E+08   0.125859E+08   0.125946E+08  -0.568936E+00   0.107749E+08   0.107748E+08   0.972941E+02
   0.107309E-03   0.125856E+08   0.125855E+08   0.162128E+08   0.161917E+08   0.125849E+08   0.125855E+08   0.125855E+08   0.125942E+08  -0.568918E+00   0.107746E+08   0.107745E+08   0.107203E+03
   0.118489E-03   0.125852E+08   0.125851E+08   0.160902E+08   0.160647E+08   0.125836E+08   0.125851E+08   0.125852E+08   0.125937E+08  -0.568896E+00   0.107742E+08   0.107742E+08   0.118066E+03
   0.130833E-03   0.125847E+08   0.125846E+08   0.159420E+08   0.159110E+08   0.125821E+08   0.125847E+08   0.125847E+08   0.125932E+08  -0.568869E+00   0.107738E+08   0.107738E+08   0.129958E+03
   0.144463E-03   0.125841E+08   0.125840E+08   0.157631E+08   0.157256E+08   0.125802E+08   0.125841E+08   0.125841E+08   0.125925E+08  -0.568836E+00   0.107733E+08   0.107733E+08   0.142949E+03
   0.159514E-03   0.125834E+08   0.125833E+08   0.155475E+08   0.155023E+08   0.125778E+08   0.125833E+08   0.125834E+08   0.125916E+08  -0.568796E+00   0.107727E+08   0.107726E+08   0.157107E+03
   0.176132E-03   0.125825E+08   0.125824E+08   0.152885E+08   0.152341E+08   0.125750E+08   0.125825E+08   0.125825E+08   0.125906E+08  -0.568747E+00   0.107720E+08   0.107719E+08   0.172493E+03
   0.194481E-03   0.125815E+08   0.125813E+08   0.149783E+08   0.149130E+08   0.125716E+08   0.125814E+08   0.125814E+08   0.125894E+08  -0.568688E+00   0.107711E+08   0.107709E+08   0.189153E+03
   0.214742E-03   0.125802E+08   0.125800E+08   0.146083E+08   0.145301E+08   0.125674E+08   0.125801E+08   0.125801E+08   0.125879E+08  -0.568616E+00   0.107700E+08   0.107698E+08   0.207112E+03
   0.237114E-03   0.125786E+08   0.125784E+08   0.141690E+08   0.140758E+08   0.125623E+08   0.125785E+08   0.125786E+08   0.125861E+08  -0.568530E+00   0.107686E+08   0.107684E+08   0.226365E+03
   0.261817E-03   0.125767E+08   0.125764E+08   0.136506E+08   0.135401E+08   0.125561E+08   0.125766E+08   0.125767E+08   0.125839E+08  -0.568425E+00   0.107670E+08   0.107668E+08   0.246865E+03
   0.289093E-03   0.125744E+08   0.125741E+08   0.130434E+08   0.129132E+08   0.125486E+08   0.125743E+08   0.125744E+08   0.125812E+08  -0.568298E+00   0.107650E+08   0.107647E+08   0.268506E+03
   0.319211E-03   0.125717E+08   0.125712E+08   0.123384E+08   0.121861E+08   0.125395E+08   0.125714E+08   0.125716E+08   0.125780E+08  -0.568146E+00   0.107626E+08   0.107623E+08   0.291108E+03
   0.352466E-03   0.125683E+08   0.125678E+08   0.115291E+08   0.113526E+08   0.125284E+08   0.125680E+08   0.125682E+08   0.125742E+08  -0.567962E+00   0.107597E+08   0.107593E+08   0.314394E+03
   0.389186E-03   0.125643E+08   0.125636E+08   0.106126E+08   0.104105E+08   0.125149E+08   0.125639E+08   0.125642E+08   0.125696E+08  -0.567742E+00   0.107562E+08   0.107557E+08   0.337968E+03
   0.429732E-03   0.125594E+08   0.125586E+08   0.959259E+07   0.936423E+07   0.124987E+08   0.125590E+08   0.125592E+08   0.125640E+08  -0.567480E+00   0.107520E+08   0.107514E+08   0.361293E+03
   0.474501E-03   0.125535E+08   0.125525E+08   0.848120E+07   0.822761E+07   0.124790E+08   0.125530E+08   0.125533E+08   0.125575E+08  -0.567167E+00   0.107469E+08   0.107462E+08   0.383674E+03
   0.523935E-03   0.125464E+08   0.125453E+08   0.730233E+07   0.702666E+07   0.124552E+08   0.125458E+08   0.125463E+08   0.125497E+08  -0.566796E+00   0.107407E+08   0.107400E+08   0.404252E+03
   0.578519E-03   0.125380E+08   0.125367E+08   0.609354E+07   0.580164E+07   0.124266E+08   0.125373E+08   0.125378E+08   0.125405E+08  -0.566358E+00   0.107334E+08   0.107325E+08   0.422018E+03
   0.638789E-03   0.125279E+08   0.125264E+08   0.490647E+07   0.460729E+07   0.123921E+08   0.125270E+08   0.125277E+08   0.125296E+08  -0.565843E+00   0.107246E+08   0.107236E+08   0.435853E+03
   0.705338E-03   0.125160E+08   0.125142E+08   0.380378E+07   0.350935E+07   0.123508E+08   0.125149E+08   0.125157E+08   0.125169E+08  -0.565242E+00   0.107142E+08   0.107131E+08   0.444618E+03
   0.778821E-03   0.125018E+08   0.124998E+08   0.285105E+07   0.257562E+07   0.123014E+08   0.125005E+08   0.125015E+08   0.125020E+08  -0.564542E+00   0.107018E+08   0.107006E+08   0.447280E+03
   0.859958E-03   0.124851E+08   0.124829E+08   0.210268E+07   0.186087E+07   0.122427E+08   0.124836E+08   0.124848E+08   0.124847E+08  -0.563732E+00   0.106873E+08   0.106859E+08   0.443088E+03
   0.949549E-03   0.124656E+08   0.124631E+08   0.158337E+07   0.138729E+07   0.121730E+08   0.124638E+08   0.124652E+08   0.124646E+08  -0.562797E+00   0.106702E+08   0.106687E+08   0.431757E+03
   0.104847E-02   0.124428E+08   0.124400E+08   0.127163E+07   0.112760E+07   0.120908E+08   0.124406E+08   0.124423E+08   0.124413E+08  -0.561721E+00   0.106502E+08   0.106487E+08   0.413617E+03
   0.115770E-02   0.124162E+08   0.124132E+08   0.109680E+07   0.100297E+07   0.119942E+08   0.124137E+08   0.124157E+08   0.124143E+08  -0.560483E+00   0.106271E+08   0.106255E+08   0.389638E+03
   0.127831E-02   0.123855E+08   0.123823E+08   0.961994E+06   0.908637E+06   0.118817E+08   0.123826E+08   0.123850E+08   0.123831E+08  -0.559061E+00   0.106003E+08   0.105987E+08   0.361301E+03
   0.141149E-02   0.123500E+08   0.123468E+08   0.793893E+06   0.767087E+06   0.117520E+08   0.123467E+08   0.123495E+08   0.123471E+08  -0.557426E+00   0.105695E+08   0.105678E+08   0.330303E+03
   0.155854E-02   0.123093E+08   0.123059E+08   0.592148E+06   0.579263E+06   0.116038E+08   0.123054E+08   0.123087E+08   0.123057E+08  -0.555551E+00   0.105341E+08   0.105325E+08   0.298266E+03
   0.172091E-02   0.122625E+08   0.122592E+08   0.425983E+06   0.418741E+06   0.114359E+08   0.122580E+08   0.122620E+08   0.122583E+08  -0.553405E+00   0.104936E+08   0.104920E+08   0.266626E+03
   0.190019E-02   0.122091E+08   0.122058E+08   0.351567E+06   0.344521E+06   0.112478E+08   0.122040E+08   0.122086E+08   0.122042E+08  -0.550957E+00   0.104474E+08   0.104458E+08   0.236774E+03
   0.209815E-02   0.121484E+08   0.121450E+08   0.327345E+06   0.245768E+06   0.110395E+08   0.121425E+08   0.121478E+08   0.121427E+08  -0.548175E+00   0.103948E+08   0.103933E+08   0.210090E+03
   0.231674E-02   0.120794E+08   0.120760E+08   0.267557E+06   0.200424E+06   0.108114E+08   0.120728E+08   0.120788E+08   0.120730E+08  -0.545023E+00   0.103352E+08   0.103337E+08   0.187511E+03
   0.255810E-02   0.120015E+08   0.119980E+08   0.187637E+06   0.163316E+06   0.105643E+08   0.119941E+08   0.120009E+08   0.119942E+08  -0.541465E+00   0.102679E+08   0.102664E+08   0.168914E+03
   0.282460E-02   0.119138E+08   0.119101E+08   0.157453E+06   0.132960E+06   0.102993E+08   0.119055E+08   0.119132E+08   0.119056E+08  -0.537462E+00   0.101923E+08   0.101907E+08   0.153252E+03
   0.311887E-02   0.118154E+08   0.118115E+08   0.133897E+06   0.108141E+06   0.100172E+08   0.118063E+08   0.118148E+08   0.118063E+08  -0.532979E+00   0.101075E+08   0.101059E+08   0.139322E+03
   0.344379E-02   0.117056E+08   0.117014E+08   0.985925E+05   0.878614E+05   0.971823E+07   0.116955E+08   0.117049E+08   0.116956E+08  -0.527977E+00   0.100129E+08   0.100113E+08   0.126129E+03
   0.380257E-02   0.115835E+08   0.115790E+08   0.926458E+05   0.713015E+05   0.940207E+07   0.115725E+08   0.115828E+08   0.115725E+08  -0.522420E+00   0.990773E+07   0.990622E+07   0.113357E+03
   0.419872E-02   0.114483E+08   0.114435E+08   0.644450E+05   0.577892E+05   0.906840E+07   0.114362E+08   0.114475E+08   0.114363E+08  -0.516269E+00   0.979137E+07   0.978988E+07   0.101600E+03
   0.463615E-02   0.112992E+08   0.112939E+08   0.547541E+05   0.467724E+05   0.871712E+07   0.112861E+08   0.112983E+08   0.112861E+08  -0.509488E+00   0.966306E+07   0.966158E+07   0.913275E+02
   0.511914E-02   0.111352E+08   0.111294E+08   0.401108E+05   0.377983E+05   0.834919E+07   0.111210E+08   0.111342E+08   0.111211E+08  -0.502038E+00   0.952210E+07   0.952062E+07   0.824211E+02
   0.565246E-02   0.109560E+08   0.109496E+08   0.327938E+05   0.304958E+05   0.794506E+07   0.109407E+08   0.109549E+08   0.109407E+08  -0.493894E+00   0.936802E+07   0.936655E+07   0.742828E+02
   0.624133E-02   0.107600E+08   0.107528E+08   0.287642E+05   0.245589E+05   0.753279E+07   0.107435E+08   0.107588E+08   0.107435E+08  -0.484993E+00   0.919957E+07   0.919811E+07   0.667397E+02
   0.689155E-02   0.105466E+08   0.105386E+08   0.232548E+05   0.197384E+05   0.710099E+07   0.105290E+08   0.105453E+08   0.105290E+08  -0.475308E+00   0.901629E+07   0.901484E+07   0.600680E+02
   0.760952E-02   0.103152E+08   0.103061E+08   0.178663E+05   0.158295E+05   0.665600E+07   0.102963E+08   0.103136E+08   0.102963E+08  -0.464805E+00   0.881747E+07   0.881603E+07   0.541744E+02
   0.840228E-02   0.100647E+08   0.100544E+08   0.135272E+05   0.126642E+05   0.620695E+07   0.100447E+08   0.100630E+08   0.100447E+08  -0.453447E+00   0.860243E+07   0.860099E+07   0.488235E+02
   0.927763E-02   0.979452E+07   0.978270E+07   0.117582E+05   0.101050E+05   0.575467E+07   0.977342E+07   0.979254E+07   0.977343E+07  -0.441199E+00   0.837052E+07   0.836909E+07   0.440745E+02
   0.102442E-01   0.950387E+07   0.949029E+07   0.860390E+04   0.803930E+04   0.529707E+07   0.948169E+07   0.950159E+07   0.948169E+07  -0.428029E+00   0.812112E+07   0.811969E+07   0.398467E+02
   0.113114E-01   0.919198E+07   0.917634E+07   0.777137E+04   0.637507E+04   0.483918E+07   0.916876E+07   0.918935E+07   0.916876E+07  -0.413902E+00   0.785355E+07   0.785212E+07   0.360797E+02
   0.124898E-01   0.885812E+07   0.884012E+07   0.509099E+04   0.503696E+04   0.438803E+07   0.883396E+07   0.885510E+07   0.883396E+07  -0.398788E+00   0.756723E+07   0.756580E+07   0.327355E+02
   0.137910E-01   0.850179E+07   0.848108E+07   0.486631E+04   0.396351E+04   0.394752E+07   0.847677E+07   0.849831E+07   0.847677E+07  -0.382664E+00   0.726171E+07   0.726027E+07   0.297598E+02
   0.152278E-01   0.812267E+07   0.809890E+07   0.328147E+04   0.310458E+04   0.351818E+07   0.809690E+07   0.811868E+07   0.809690E+07  -0.365515E+00   0.693673E+07   0.693529E+07   0.271044E+02
   0.168142E-01   0.772979E+07   0.770264E+07   0.245659E+04   0.242214E+04   0.311030E+07   0.770338E+07   0.772523E+07   0.770339E+07  -0.347751E+00   0.660002E+07   0.659856E+07   0.247420E+02
   0.185659E-01   0.730791E+07   0.727710E+07   0.216804E+04   0.187734E+04   0.271942E+07   0.728104E+07   0.730274E+07   0.728104E+07  -0.328685E+00   0.623858E+07   0.623711E+07   0.225851E+02
   0.205001E-01   0.686610E+07   0.683147E+07   0.162475E+04   0.144601E+04   0.235215E+07   0.683895E+07   0.686029E+07   0.683895E+07  -0.308728E+00   0.586016E+07   0.585868E+07   0.206015E+02
   0.226359E-01   0.640084E+07   0.636237E+07   0.114392E+04   0.110510E+04   0.200925E+07   0.637362E+07   0.639438E+07   0.637362E+07  -0.287721E+00   0.546178E+07   0.546029E+07   0.187310E+02
   0.249941E-01   0.592867E+07   0.588660E+07   0.855183E+03   0.839111E+03   0.169754E+07   0.590161E+07   0.592161E+07   0.590161E+07  -0.266414E+00   0.505761E+07   0.505613E+07   0.169413E+02
   0.275980E-01   0.545513E+07   0.541003E+07   0.662169E+03   0.632941E+03   0.141808E+07   0.542848E+07   0.544756E+07   0.542849E+07  -0.245056E+00   0.465244E+07   0.465097E+07   0.151851E+02
   0.304731E-01   0.498231E+07   0.493514E+07   0.525306E+03   0.473902E+03   0.117053E+07   0.495638E+07   0.497439E+07   0.495638E+07  -0.223744E+00   0.424808E+07   0.424664E+07   0.134166E+02
   0.336478E-01   0.452299E+07   0.447519E+07   0.407431E+03   0.352694E+03   0.955986E+06   0.449812E+07   0.451496E+07   0.449812E+07  -0.203056E+00   0.385552E+07   0.385415E+07   0.116164E+02
   0.371533E-01   0.409372E+07   0.404713E+07   0.280558E+03   0.261719E+03   0.774994E+06   0.407022E+07   0.408589E+07   0.407022E+07  -0.183740E+00   0.348893E+07   0.348766E+07   0.978991E+01
   0.410239E-01   0.370511E+07   0.366186E+07   0.219014E+03   0.194227E+03   0.625509E+06   0.368331E+07   0.369785E+07   0.368331E+07  -0.166274E+00   0.315743E+07   0.315628E+07   0.796647E+01
   0.451263E-01   0.337692E+07   0.333885E+07   0.150509E+03   0.146279E+03   0.508616E+06   0.335698E+07   0.337053E+07   0.335698E+07  -0.151543E+00   0.287780E+07   0.287681E+07   0.627588E+01
   0.492287E-01   0.312143E+07   0.308939E+07   0.116901E+03   0.113615E+03   0.422221E+06   0.310330E+07   0.311605E+07   0.310330E+07  -0.140091E+00   0.266041E+07   0.265958E+07   0.486138E+01
   0.533311E-01   0.291594E+07   0.288994E+07   0.930593E+02   0.904429E+02   0.356328E+06   0.289948E+07   0.291158E+07   0.289948E+07  -0.130890E+00   0.248575E+07   0.248505E+07   0.373384E+01
   0.574334E-01   0.274326E+07   0.272256E+07   0.754966E+02   0.733737E+02   0.304431E+06   0.272826E+07   0.273979E+07   0.272826E+07  -0.123160E+00   0.233901E+07   0.233843E+07   0.288770E+01
   0.615358E-01   0.259037E+07   0.257373E+07   0.621057E+02   0.603592E+02   0.262289E+06   0.257657E+07   0.258758E+07   0.257657E+07  -0.116313E+00   0.220901E+07   0.220851E+07   0.229819E+01
   0.656382E-01   0.244580E+07   0.243175E+07   0.515396E+02   0.500901E+02   0.226892E+06   0.243295E+07   0.244344E+07   0.243295E+07  -0.109829E+00   0.208591E+07   0.208547E+07   0.192333E+01
   0.697406E-01   0.230233E+07   0.228943E+07   0.429734E+02   0.417648E+02   0.196436E+06   0.229021E+07   0.230016E+07   0.229021E+07  -0.103386E+00   0.196356E+07   0.196315E+07   0.171175E+01
   0.738430E-01   0.216113E+07   0.214818E+07   0.359750E+02   0.349631E+02   0.170172E+06   0.214954E+07   0.215896E+07   0.214954E+07  -0.970358E-01   0.184300E+07   0.184258E+07   0.161175E+01
   0.779454E-01   0.201799E+07   0.200419E+07   0.301424E+02   0.292945E+02   0.147113E+06   0.200683E+07   0.201567E+07   0.200683E+07  -0.905932E-01   0.172067E+07   0.172024E+07   0.157009E+01
   0.820478E-01   0.187990E+07   0.186491E+07   0.253351E+02   0.246225E+02   0.127256E+06   0.186910E+07   0.187738E+07   0.186910E+07  -0.843757E-01   0.160261E+07   0.160216E+07   0.154736E+01
   0.861502E-01   0.175083E+07   0.173474E+07   0.213961E+02   0.207942E+02   0.110355E+06   0.174038E+07   0.174813E+07   0.174038E+07  -0.785650E-01   0.149226E+07   0.149180E+07   0.151380E+01
   0.912715E-01   0.160742E+07   0.159057E+07   0.174958E+02   0.170036E+02   0.930147E+05   0.159744E+07   0.160459E+07   0.159744E+07  -0.721123E-01   0.136972E+07   0.136927E+07   0.143179E+01
   0.963928E-01   0.148809E+07   0.147148E+07   0.145190E+02   0.141105E+02   0.793505E+05   0.147864E+07   0.148530E+07   0.147864E+07  -0.667496E-01   0.126788E+07   0.126744E+07   0.129914E+01
   0.101514E+00   0.139426E+07   0.137889E+07   0.122653E+02   0.119202E+02   0.687505E+05   0.138542E+07   0.139168E+07   0.138542E+07  -0.625411E-01   0.118795E+07   0.118755E+07   0.112909E+01
   0.106635E+00   0.132244E+07   0.130902E+07   0.105441E+02   0.102475E+02   0.604916E+05   0.131422E+07   0.132019E+07   0.131422E+07  -0.593273E-01   0.112691E+07   0.112656E+07   0.945676E+00
